jp	tw	en	kr
虹マタタビの種	彩虹貓薄荷種子	Epic Catfruit Seed	무지개 개다래나무의 씨앗
金マタタビ	黃金貓薄荷	Gold Catfruit	황금 개다래 열매
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
キャッツアイ【EX】	貓眼石【EX】	Catseye [Special]	캣츠아이【EX】
キャッツアイ【レア】	貓眼石【稀有】	Catseye [Rare]	캣츠아이【레어】
キャッツアイ【激レア】	貓眼石【激稀有】	Catseye [Super Rare]	캣츠아이【슈퍼 레어】
キャッツアイ【超激レア】	貓眼石【超激稀有】	Catseye [Uber Rare]	캣츠아이【울트라 슈퍼 레어】
キャッツアイ【伝説】	貓眼石【傳說】	Catseye [Legend]	캣츠아이【레전드】
ネコビタンA	喵力達A	Catamin [A]	고양이 드링크A
ネコビタンB	喵力達B	Catamin [B]	고양이 드링크B
ネコビタンC	喵力達C	Catamin [C]	고양이 드링크C
キャッツアイ【闇】	貓眼石【闇】	Catseye [Dark]	캣츠아이【다크】
にゃんこ砲攻撃力	貓咪砲攻擊力	Cat Cannon Attack	냥코 대포 공격력
にゃんこ砲射程	貓咪砲射程	Cat Cannon Range	냥코 대포 사정거리
にゃんこ砲チャージ	貓咪砲充電	Cat Cannon Charge	냥코 대포 충전
働きネコ仕事効率	工作狂貓的工作效率	Worker Cat Rate	일 고양이의 일 효율
働きネコお財布	工作狂貓錢包	Worker Cat Wallet	일 고양이의 지갑
お城体力	城堡體力	Base Defense	성 체력
研究力	研究力	Research	연구력
会計力	會計能力	Accountant	회계력
勉強力	學習力	Study	공부력
統率力	統率力	Cat Energy	통솔력
受取BOX用：ダミー1	貓咪隊員：未定1	Cat Ally: Dummy 1	냥코 대원:더미1
受取BOX用：ダミー2	貓咪隊員：未定2	Cat Ally: Dummy 2	냥코 대원:더미2
受取BOX用：ダミー3	貓咪隊員：未定3	Cat Ally: Dummy 3	냥코 대원:더미3
受取BOX用：ダミー4	貓咪隊員：未定4	Cat Ally: Dummy 4	냥코 대원:더미4
受取BOX用：ダミー5	貓咪隊員：未定5	Cat Ally: Dummy 5	냥코 대원:더미5
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
XP 100000	XP 100000	XP 100000	XP 100000
経験値Ａ	經驗值A	XP	경험치A
経験値Ｂ	經驗值B	XP	경험치B
経験値Ｃ	經驗值C	XP	경험치C
経験値Ｄ	經驗值D	XP	경험치D
経験値Ｅ	經驗值E	XP	경험치E
レンガ	紅磚	Bricks	벽돌
羽根	羽毛	Feathers	깃털
備長炭	備長炭	Coal	참숯
鋼の歯車	鋼製齒輪	Sprockets	철 톱니바퀴
黄金	黃金	Gold	황금
宇宙石	宇宙石	Meteorite	우주석
謎の骨	神秘骨頭	Beast Bones	수수께끼의 뼈
助手	助手	Engineers	조수
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋	Lucky Ticket	럭키 티켓
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
リーダーシップ	首領旗	Leadership	리더십
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
ビックリマンチョコ			
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケットG	招福轉蛋券G	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
リスタートパック	回歸禮包	Restart Pack	리스타트 팩
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
ビックリマンチョコ	聖魔大戰巧克力	Bikkuriman Choco	빅쿠리맨 초코
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
アンモナイト	菊石	Ammonite	암모나이트
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
レジェンドチケット	傳說券	Legend Ticket 	레전드 티켓
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
ネコボン3時間使い放題	土豪貓3小時無限使用	Endless Rich Cats for 3 hours	고양이 도령 사용 3시간 무제한
ニャンピュータ3時間使い放題	貓型電腦3小時無限使用	Endless Cat CPUs for 3 hours	야옹컴 사용 3시간 무제한
スニャイパー3時間使い放題	狙擊手3小時無限使用	Endless Sniper the Cats for 3 hours	스냥이퍼 사용 3시간 무제한
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケットG	招福轉蛋G券	Lucky Ticket G	럭키 티켓G
プラチナのかけら	白金券碎片	Platinum Shard	플래티넘 조각
伝説の虫取り網	傳說的捕蟲網	Legend Net	전설의 벌레 채집망
XP 5000	XP 5000	5000 XP	XP 5000
悪マタタビの種	惡貓薄荷種子	Aku Catfruit Seed	악마 개다래나무의 씨앗
悪マタタビ	惡貓薄荷	Aku Catfruit	악마 개다래 열매
伝説のにんじん			
はてなボックス	神祕箱子	Mystery Box	물음표 박스
金マタタビの種	黃金貓薄荷種子	Gold Catfruit Seed	황금 개다래나무의 씨앗
伝説の縁起物			
伝説のラブレター	傳說的情書	Love Letter	전설의 러브레터
紫獣石	紫獸石	Purple B. Stone	자수석
紅獣石	紅獸石	Red B. Stone	홍수석
蒼獣石	蒼獸石	Blue B. Stone	청수석
翠獣石	翠獸石	Green B. Stone	녹수석
黄獣石	黃獸石	Yellow B. Stone	황수석
伝説の聖水	傳說的聖水	Holy Water	전설의 성수
伝説の虫取り網	傳說的捕蟲網	Legend Net	전설의 벌레 채집망
ブロンズ勲章	青銅勳章	Bronze Medal	브론즈 훈장
シルバー勲章	白銀勳章	Silver Medal	실버 훈장
ゴールド勲章	黃金勳章	Gold Medal	골드 훈장
プラチナ勲章	白金勳章	Platinum Medal	플래티넘 훈장
伝説のフリーパス		Legend Pass	전설의 프리패스
紫獣結晶	紫獸結晶	Purple B. Gem	자수석 결정
紅獣結晶	紅獸結晶	Red B. Gem	홍수석 결정
蒼獣結晶	蒼獸結晶	Blue B. Gem	청수석 결정
翠獣結晶	翠獸結晶	Green B. Gem	녹수석 결정
黄獣結晶	黃獸結晶	Yellow B. Gem	황수석 결정
虹獣石	彩虹獸石	Epic B. Stone	무지개 수석
伝説の縁起物	傳說金元寶	Legendary Charm	전설의 복주머니
伝説のラブレター	傳說的情書	Love Letter	전설의 러브레터
レンガZ	紅磚Z	Brick Z	벽돌Z
羽根Z	羽毛Z	Feathers Z	깃털Z
備長炭Z	備長炭Z	Coal Z	참숯Z
鋼の歯車Z	鋼製齒輪Z	Sprockets Z	철 톱니바퀴Z
黄金Z	黃金Z	Gold Z	황금Z
宇宙石Z	宇宙石Z	Meteorite Z	우주석Z
謎の骨Z	神秘骨頭Z	Beast Bones Z	수수께끼의 뼈Z
アンモナイトZ	菊石Z	Ammonite Z	암모나이트Z
伝説の聖水	傳說的聖水	Holy Water	전설의 성수
伝説の虫取り網	傳說的捕蟲網	Legend Nets	전설의 벌레 채집망
XP 1000000	XP 1000000	1000000 XP	XP 1000000
伝説のちいさいメダル			
伝説の縁起物	傳說金元寶	Legendary Charm	전설의 복주머니
伝説のラブレター	傳說的情書	Love Letter	전설의 러브레터
経験値	經驗值	XP	경험치
伝説の聖水	傳說的聖水	Holy Water	전설의 성수
伝説の虫取り網	傳說的捕蟲網	Legend Net	전설의 벌레 채집망
伝説の罠	傳說的陷阱	Legend Trap	전설의 트랩
ビックリマンチョコ			
伝説の魂	傳說的靈魂	Legendary Spirit	전설의 혼
軍資金			
伝説の縁起物			
1億DL記念チケット			
伝説のラブレター			
