jp	tw	en	kr
ことよろにゃ！	今年也請多指教！	Happy 2015!	앞으로도 잘 부탁한다냥★
開眼の女優襲来！	開眼女優貓來襲！	Actress Awakens!	각성한 여배우의 습격!
開眼のカンフー襲来！	開眼功夫貓來襲！	Kung-Fu Awakens!	각성한 쿵후의 습격!
開眼のMr.襲来！	開眼Mr.來襲！	Mr. Awakens!	각성한 Mr.의 습격!
開眼の猫縛り襲来！	開眼緊縛貓來襲！	Bondage Awakens!	각성한 고양이 밧줄의 습격!
開眼の女王猫襲来！	開眼女王貓來襲！	The Dom Awakens!	각성한 여왕 고양이의 습격!
開眼の箱詰め襲来！	開眼箱貓來襲！	Box Cats Awaken!	각성한 한박스의 습격!
開眼のパンツ襲来！	開眼三角褲貓來襲！	Panties Awakens!	각성한 팬티의 습격!
開眼のリンリン襲来！	開眼輪輪貓來襲！	Tricycle Awakens!	각성한 세발자전거의 습격!
開眼の忍者襲来！	開眼忍者貓來襲！	Ninja Awakens!	각성한 닌자의 습격!
開眼のゾンビ襲来！	開眼殭屍貓來襲！	Zombie Awakens!	각성한 좀비의 습격!
開眼のさむらい襲来！	開眼武士貓來襲！	Samurai Awakens!	각성한 무사의 습격!
開眼のスモウ襲来！	開眼相撲貓來襲！	Sumo Awakens!	각성한 스모의 습격!
開眼のフィーバー襲来！	開眼狂歡貓來襲！	Boogie Awakens!	각성한 피버의 습격!
開眼のスカート襲来！	開眼短裙貓來襲！	Skirt Awakens!	각성한 스커트의 습격!
超ゲリラ経験値にゃ！	超級游擊經驗值喵！	XP Megablitz!	초 게릴라 경험치다냥!
バレンタインVSホワイトデー大戦争(旧)	情人節ｖｓ白色情人節大戰爭	Sweetest Sorrow	스위트 전쟁
闇討ち 1st(旧)	黑夜襲擊　1st	Dark Descent	칠흑의 그림자 1st
闇討ち 2nd(旧)	黑夜襲擊　2nd	Dark Descent II	칠흑의 그림자 2nd
闇討ち 3rd(旧)	黑夜襲擊　3rd	Dark Descent III	칠흑의 그림자 3rd
闇討ち Last(旧)	黑夜襲擊　Last	Dark Descent ∞	칠흑의 그림자 Last
とびだす！にゃんこ大戦争	貓咪大戰爭3DS！	The Battle Cats POP!	냥코대전쟁 POP！
絶望異次元	絕望異次元	Dimension of Despair	절망적인 이차원
TWその１	小籠包★Q彈來襲	TWその１	TWその１
2000万ダウンロード記念 ハッピープレゼント！	慶祝2000萬下載紀念 HAPPY大禮！	20 Mil Downloads Special Gift!	2000만 다운로드 기념! 해피 선물!
極ムズカーニバル！	極難祭！	Deadly Carnival!	극난도 카니발!
月イベントオールスターズ ワンダフル記念！	月間活動全明星 絕佳紀念！	Monthly Event All-Stars Wonderful Celebration!	월별 스테이지 올스타즈 원더풀 기념!
EN１	EN１	Minced Meet-Up	EN１
王道ハロウィン到来！(旧)	正統萬聖節到來!	All Hallows Road	할로윈이 돌아왔다냥!
ゲリラ月曜ステージ	游擊星期一關卡	Mon. Blitz Stage	게릴라 월요 스테이지
ゲリラ火曜ステージ	游擊星期二關卡	Tues. Blitz Stage	게릴라 화요 스테이지
ゲリラ水曜ステージ	游擊星期三關卡	Weds. Blitz Stage	게릴라 수요 스테이지
ゲリラ木曜ステージ	游擊星期四關卡	Thurs. Blitz Stage	게릴라 목요 스테이지
ゲリラ金曜ステージ	游擊星期五關卡	Fri. Blitz Stage	게릴라 금요 스테이지
逆襲のカオル君	逆襲的臉君	Facing Danger	역습의 대갈이군
イベントオールスターズ エクセレント記念！	活動全明星關卡 卓越紀念！	Event All-Stars Excellent Celebration!	이벤트 올스타즈 엑셀런트 기념!
バースデープレゼント！	生日禮物！	Birthday Present!	생일 선물!
赤鼻サンタのプレゼント！(旧)	紅鼻子聖誕老人的禮物！	Jolly St. Nick	빨간코 산타의 선물!
ことよろにゃ！(ΦωΦ)	新年也請多多指教!	Auld Lang Syne!	올해도 잘 부탁한다냥!
開眼のにゃんこ成人襲来！	開眼成人貓來襲！	Adult Cat Awakes!	각성한 냥코 성인의 습격!
開眼の吾輩は鬼である襲来！	開眼我是鬼來襲！	Evil Cat Awakes!	각성한 내가 도깨비라오의 습격!
開眼のひなにゃんこ襲来！	開眼人偶貓咪來襲！	Doll Cats Awake!	각성한 냥코 부부의 습격!
開眼のネコ乙女襲来！	開眼少女貓來襲！	Maiden Awakes!	각성한 고양이 소녀의 습격!
開眼のマジでコイしてる襲来！	開眼至死不渝的戀情來襲！	Koi Awakens!	각성한 물만난 물고기의 습격!
開眼のマダム・ザ・花嫁襲来！	開眼新娘太太來襲！	Bride Awakens!	각성한 마담・더・신부의 습격!
開眼の女王様の休日襲来！	開眼女王的假期來襲！	Vacation Awakens!	각성한 여왕님의 휴일의 습격!
開眼のうらめしにゃん襲来！	開眼幽魂吶吶來襲！	Vengeance Awakes!	각성한 처녀귀신 냥코의 습격!
開眼のカンフーにゃんこＧ襲来！	開眼功夫貓Ｇ來襲！	Kung-Fu X Awakes!	각성한 쿵후 냥코G의 습격!
開眼のネコ運動会襲来！	開眼運動會貓來襲！	Sports Day Awakens!	각성한 고양이 운동회의 습격!
開眼のネコリーマン襲来！	開眼上班族貓來襲！	Salaryman Awakes!	각성한 고양리맨의 습격!
開眼のトナカイフィッシュ襲来！	開眼的馴鹿魚來襲！	Reindeer Fish Awakens!	각성한 순록피쉬의 습격!
断罪天使クオリネル降臨	斷罪天使海蝶降臨	Clionel Ascendant	단죄천사 쿠오리넬 강림
緊急爆風警報	緊急暴風警報	Red Sky at Morning	긴급 폭풍 경보
進化の緑マタタビ	進化的綠色貓薄荷	Growing Green	진화의 초록 개다래 열매
進化の紫マタタビ	進化的紫色貓薄荷	Growing Purple	진화의 보라 개다래 열매
進化の赤マタタビ	進化的紅色貓薄荷	Growing Red	진화의 빨강 개다래 열매
進化の青マタタビ	進化的藍色貓薄荷	Growing Blue	진화의 파랑 개다래 열매
進化の黄マタタビ	進化的黃色貓薄荷	Growing Yellow	진화의 노랑 개다래 열매
大狂乱のネコ降臨	大狂亂貓咪降臨	Cat Maniac	대광란의 고양이 강림
大狂乱のタンク降臨	大狂亂坦克貓降臨	Tank Maniac	대광란의 탱크 강림
大狂乱のバトル降臨	大狂亂戰鬥貓降臨	Axe Maniac	대광란의 배틀 강림
大狂乱のキモネコ降臨	大狂亂噁心貓降臨	Gross Maniac	대광란의 징글 고양이 강림
大狂乱のウシ降臨	大狂亂牛貓降臨	Cow Maniac	대광란의 황소 강림
大狂乱のトリ降臨	大狂亂鳥貓降臨	Bird Maniac	대광란의 새 강림
大狂乱のフィッシュ降臨	大狂亂魚貓降臨	Fish Maniac	대광란의 피쉬 강림
大狂乱のトカゲ降臨	大狂亂蜥蜴貓降臨	Lizard Maniac	대광란의 도마뱀 강림
大狂乱の巨神降臨	大狂亂巨神貓降臨	Titan Maniac	대광란의 거신 강림
弱り目に祟り目	禍不單行	Bad to Worse	설상가상
神判の日	神判日	Day of Judgment	신판의 날
協賛BitSummit記念！	協賛BitSummit記念！	協賛BitSummit記念！	協賛BitSummit記念！
オーバーテクノロジー	超尖端科技	Techneurosis	오버 테크놀로지
ときめき夏祭り	心動夏日祭典	Summer Diary	두근두근 여름 축제
謎の宅配便	神秘宅速配	Mystery Package	수수께끼의 택배
地獄門	地獄門	River Styx	지옥문
マタタビチャレンジ	貓薄荷挑戰	Catfruit Buffet	개다래 챌린지
女帝飛来	女帝飛來	Queen's Coronation	여왕의 비행
極ムズカーニバル2！	極難祭2！	Deadly Carnival II	극난도 카니발2!
文化祭グルメ戦争(旧)	文化祭美食戰爭	A Cultured Festival	축제 맛집 전쟁
ローリングデッド	滾死樂團	The Rolling Dead	롤링 데드
バースデープレゼント！	生日禮物！	Birthday Present!	생일 선물
極ゲリラ経験値にゃ！	終極游擊經驗值喵！	XP Colosseum	극 게릴라 경험치다냥!
にゃんこ雪まつり	貓咪雪祭	Cats in the Snow	냥코 눈꽃 축제
ことよろにゃ！(ΦωΦ)	今年也請多指教！	You Nears!	새해 복 많이 받으라냥
２２２ ～猫の日～(旧)	日本貓咪節	Day of the Cat	고양이의 날
亡者デブウ降臨	亡者肥普降臨	Dead on Debut	죽은 뚱땡이 강림
謎のイースター	神秘復活節	Spring Sprang Sprung	수수께끼의 이스타
開眼のちびネコ襲来！	開眼小小貓來襲！	Li'l Cat Awakens!	각성한 꼬맹이 고양이의 습격!
開眼のちびタンクネコ襲来！	開眼小小坦克貓來襲！	Li'l Tank Awakens!	각성한 꼬맹이 탱크 고양이의 습격!
開眼のちびバトルネコ襲来！	開眼小小戰鬥貓來襲！	Li'l Axe Awakens!	각성한 꼬맹이 배틀 고양이의 습격!
開眼のちびキモネコ襲来！	開眼小小噁心貓來襲！	Li'l Gross Awakens!	각성한 꼬맹이 징글 고양이의 습격!
開眼のちびウシネコ襲来！	開眼小小牛貓來襲！	Li'l Cow Awakens!	각성한 꼬맹이 황소 고양이의 습격!
開眼のちびネコノトリ襲来！	開眼小小鳥貓來襲！	Li'l Bird Awakens!	각성한 꼬맹이 고양이 새의 습격!
開眼のちびネコフィッシュ襲来！	開眼小小魚貓來襲！	Li'l Fish Awakens!	각성한 꼬맹이 고양이 피쉬의 습격!
開眼のちびネコトカゲ襲来！	開眼小小蜥蜴貓來襲！	Li'l Lizard Awakens!	각성한 꼬맹이 고양이 도마뱀의 습격!
開眼のちびネコ巨神襲来！	開眼小小巨神貓來襲！	Li'l Titan Awakens!	각성한 꼬맹이 거신 고양이의 습격!
謎のプレゼント	神秘好禮！	For the Fans	★페이스북 이벤트 보상★
黄金週間ゴールデンウィーク	日進斗金 淘金夢	The Midas Touch	일확천금 골드러시
協賛BitSummit記念！	協賛BitSummit記念！	協賛BitSummit記念！	協賛BitSummit記念！
じめじめなめなめ大進撃！(旧)	濕濕黏黏大進擊！	Sliming to Victory	축축 미끌미끌 대진격!
開眼のにゃんこカート襲来！	開眼のにゃんこカート襲来！	Cat Kart Awakens!	각성한 냥코 카트의 습격!
開眼のネコンドー襲来！	開眼のネコンドー襲来！	開眼のネコンドー襲来！	각성한 태권도 냥코의 습격!
3000万ダウンロード記念 ハッピープレゼント！	3000萬下載紀念 HAPPY大禮！	30M Celebration Gifts Galore!	3000만 다운로드 기념! 해피 선물!
イベントオールスターズ グレイト記念！	活動全明星 偉大紀念！	Event All-Stars Grand Jubilee!	월별 스테이지 올스타즈 그레이트 기념!
謎のプレゼント2	謎のプレゼント2	Watch & Earn	謎のプレゼント2
開眼のネコフラワー襲来！	開眼花盆貓來襲！	Flower Cat Awakens!	각성한 고양이 플라워의 습격!
サマーレッスン	暑修課程	Summer Lesson	섬머 레슨
レンガと宇宙石の洞窟	紅磚與宇宙石的洞窟	Cavern of Comets	벽돌과 우주석의 동굴
備長炭と謎の骨の島	備長炭與神秘骨頭的島	Island of Ash	참숯과 수수께끼의 뼈의 섬
羽根と歯車と黄金の岬	羽毛與齒輪與黃金的海岬	Strait of Wings	깃털과 철 톱니바퀴와 황금의 곶
開眼のにゃんこバーガー襲来！	開眼のにゃんこバーガー襲来！	Catburger Awakens!	開眼のにゃんこバーガー襲来！
秋色シルバーウィーク	秋季白金週	Silver Week	가을빛 실버위크
超極ゲリラ経験値にゃ！	超終極游擊經驗值喵！	Merciless XP!	초극 게릴라 경험치다냥!
バースデープレゼント！	生日禮物！	Birthday Present!	해피 버스데이!
絶望新次元	絕望新次元	The 2nd Dimension	절망신차원
チワワン伯爵降臨	吉娃娃伯爵降臨	King Wahwah's Revenge	치와와 백작 강림
ことよろにゃ！(ΦωΦ)	今年也請多指教！	You Nears!	새해 복 많이 받으라냥!
がんばれ！受験大戦争	加油！入考大戰爭	Go Go Graduates!	파이팅! 수능대전쟁
狂乱のもねこ降臨	狂亂萌貓降臨	Crazed Moneko	광란의 귀여미 강림
進化の古代マタタビ	進化的古代貓薄荷	Growing Strange	진화의 고대 개다래 열매
協賛BitSummit記念！	協賛BitSummit記念！	協賛BitSummit記念！	協賛BitSummit記念！
じめじめなめなめ大進撃！	濕濕黏黏大進擊！	Sliming to Victory	축축 미끌미끌 대진격!
続・禁断の花嫁	續・禁斷之妻	Forbidden Bride Pt II	속편・금단의 신부
だって超夏じゃニャーイ！	因為超級夏天喵！	Never Not Summer!	와! 완전 여름이다냥~!
あの世へのUターンラッシュ！	收假熱潮！	Ghostly Strangers	저세상으로 유턴 러시
町でみたすごい老人２	在鎮上看到的超強老人2	Old Guys in the City	무시무시한 어르신들
絶・紅のカタストロフ	絕・紅色突變	Crimson Vengeance	붉은 카타스트로프
夜だよ！大運動会	夜間運動會！	Sports Night	한밤중의 대운동회
働き方レボリューション	工作方式大革命	Worker's Revolution	근무환경 개선
絶・ダークネスヘブン	絕・黑暗天堂	NEO Darkness Heaven	어둠의 천국
大逆襲のメタックマ	大逆襲的鋼鐵熊	Cybear's Vengeance	대역습의 메타쿠마
文化祭グルメ戦争	文化祭美食戰爭	A Cultured Festival	축제 맛집 전쟁
宇宙からもクリスマスが来た！	宇宙中聖誕節居然也來了！	Christmas in Space	우주에도 크리스마스가 찾아왔다!
絶・国士無双	絕・國士無雙	Peerless Too	천하무적
夜は短し夢みよ乙女	春宵苦短，少女做夢吧！	Deeply Dreaming	밤은 짧아 꿈꿔 아가씨야
赤狩り 1st(旧)	紅色戰亂 1st	Seeing Red	붉은 적 1st
赤狩り 2nd(旧)	紅色戰亂 2nd	Seeing Red II	붉은 적 2nd
赤狩り 3rd(旧)	紅色戰亂 3rd	Seeing Red III	붉은 적 3rd
赤狩り Last(旧)	紅色戰亂 Last	Seeing Red ∞	붉은 적 Last
イベントオールスターズ スーパープレゼントDX	活動全明星 超級豪華大禮	Event All-Stars Super Present DX	이벤트 올스타즈 슈퍼 프레젠트DX
バースデープレゼント！	生日禮物	B-Day Gifts	생일 선물!
新年、あけてました。おめっ...	新年快樂了？	Another New Year	오늘도 달렸다!
絶・天罰	絕・天譴	Wrath of the Divine	속편・천벌
さらに召喚された福！	再次被召喚的福！	Ritual Confusion	다시 찾아온 행복
絶・鉄子の部屋	絕・鐵子的部屋	Bitter Irony	울트라 아이언 냥코의 방
ことよろにゃ！(ΦωΦ)	今年也請多指教！	You Nears!	새해 복 많이 받으라냥
台風零号	零號颱風	Typhoon Nemo	제0호 태풍
極ムズカーニバル3！	極難祭3！	Deadly Carnival III	극난도 카니발3!
4000万ダウンロード記念 ハッピープレゼント！	慶祝4000萬下載紀念 HAPPY大禮！	40M Celebration Gifts Galore!	4000만 다운로드 기념 해피 선물!
雛壇の戦士達SP	人偶架上的戰士們特別版	Bears Be Back	곰 다섯마리SP
絶・絶望異次元	絕・絕望異次元	Dimension of Delirium	계속되는 절망의 이차원
新・春だよ！高校教師	新・春天來了!高校教師	Spring for Sensei	선생님 또 봄이에요!
絶・緊急爆風警報	絕・緊急暴風警報	Red Sky at Night	계속되는 긴급 폭풍 경보
絶・断罪天使クオリネル降臨	絕・斷罪天使海蝶降臨	Clionel Dominant	단죄천사 쿠오리넬의 재강림
コイの五月病アゲイン	再一次的相思病戀歌	Lovesick Again	돌아온 신록의 계절
絶・ローリングデッド	絕・滾死樂團	The Dead Keep Rolling	계속되는 롤링 데드
絶・地獄門	絕・地獄門	River Acheron	다시 열린 지옥문
にゃんこグミ大戦争	にゃんこグミ大戦争	にゃんこグミ大戦争	にゃんこグミ大戦争
絶・女帝飛来	絕・女帝飛來	Queen's Condemnation	여왕의 고공비행
協賛BitSummit記念！	協賛BitSummit記念！	協賛BitSummit記念！	協賛BitSummit記念！
絶・絶望新次元	絕・絕望新次元	The 3rd Dimension	절망고차원
謎の宅配便	神秘宅速配	Mystery Package	수수께끼의 택배
絶・亡者デブウ降臨	絕・亡者肥普降臨	Dead by Encore	죽은 뚱땡이 재강림
ふたりで！にゃんこ大戦争	兩人一起！貓咪大戰爭	The Battle Cats Unite!	둘이서! 냥코 대전쟁
絶・チワワン伯爵降臨	絕・吉娃娃伯爵降臨	King Wahwah's Return	치와와 백작 재강림
大乱闘狂乱ファミリーズ	狂亂家族大亂鬥	Clan of the Maniacs	대난투 광란 패밀리
にゃんにゃん記念日	喵喵紀念日	Meow Meow Day	냥코 냥코 기념일
草原の決闘(旧)	草原的決鬥	Duel on the Prarie	초원에서 격투
夕焼けの決闘(旧)	晚霞的決鬥	Duel at Sunset	저녁노을 격투
星空の決闘(旧)	星空的決鬥	Duel Under the Stars	밤하늘 격투
砂浜の決闘(旧)	沙灘的決鬥	Duel on the Dunes	모래사장 격투
絶・夜は短し夢みよ乙女	絕・春宵苦短，少女做夢吧！	A Deeper Dream	밤은 짧아 계속 꿈꿔 아가씨야
ブルーインパクト	藍色衝擊	Blue Impact	블루 임팩트
バースデープレゼント！	生日禮物！	B-Day Gifts	생일 선물!
奈落門	奈落門	Courts of Torment	나락문
謎の宅配便	謎の宅配便	謎の宅配便	謎の宅配便
聖者ポプウ降臨	聖者波普降臨	Papuu's Paradise	성자 뚱땡이 강림
古王妃飛来	古王妃飛來	The Old Queen	왕비의 비행
ことよろにゃ！(ΦωΦ)	今年也請多指教！	You Nears!	새해 복 많이 받으라냥!
進化の虹マタタビ	進化的彩虹貓薄荷	Growing Epic	진화의 무지개 개다래 열매
2019年最多出演敵ベスト５！	2019年度最多演出敵人前五名！	Most Defeated 2019	2019 최다 출현 적 베스트5
旧正月ステージ	農曆新年關卡	Lunar New Year	설날 스테이지
謎の宅配便	神秘宅速配	Mystery Package	수수께끼의 택배
ほの暗い沼の底から	暗沼幽靈	Bottom of the Swamp	어두컴컴 늪바닥
火口の決闘(旧)	火口決鬥	Duel at the Lava Fields	화구의 결투
5000万ダウンロード記念 ハッピープレゼント！	5000萬下載紀念 HAPPY大禮！	50M Celebration Gifts Galore!	5000만 다운로드 기념! 해피 선물!
綺羅星ペロ降臨	綺羅星汪汪降臨	Wanwan's Glory	기라성 페로 강림
バースデープレゼント!	生日禮物！	B-Day Gifts	생일 선물!
死霊妖精クオリネム降臨	死靈妖精海蝶降臨	Z-Onel Rises!	사령요정 쿠오리넴 강림
はじめてのお遣い	第一次的差事	First Errand	첫 심부름
地図王の眠る島(旧)	地圖王的安眠島	Isle of the Map Lord	지도왕이 잠든 섬
大乱闘 春イベスペシャル	大亂鬪 春季特別活動	Total War: Spring Special	대난투 봄 스페셜
大乱闘 夏イベスペシャル	大亂鬪 夏季特別活動	Total War: Summer Special	대난투 여름 스페셜
大乱闘 秋イベスペシャル	大亂鬪 秋季特別活動	Total War: Fall Special	대난투 가을 스페셜
大乱闘 冬イベスペシャル	大亂鬪 冬季特別活動	Total War: Winter Special	대난투 겨울 스페셜
タッグ闘技場 ルーキー(旧)	雙人鬪技場 菜鳥	Tag Arena: Rookie	태그 투기장 루키
タッグ闘技場 ビギナー(旧)	雙人鬪技場 入門	Tag Arena: Beginner	태그 투기장 비기너
タッグ闘技場 ベテラン(旧)	雙人鬪技場 老手	Tag Arena: Adept	태그 투기장 베테랑
タッグ闘技場 プロ(旧)	雙人闘技場 職業	Tag Arena: Pro	태그 투기장 프로
タッグ闘技場 エキスパート(旧)	雙人闘技場 專家	Tag Arena: Expert	태그 투기장 엑스퍼트
絶・ほの暗い沼の底から	絕・暗沼幽靈	Top of the Bog	속편・어두컴컴 늪바닥
バースデープレゼント!	生日禮物！	B-Day Gifts	생일 선물!
2020年最多出演敵ベスト５！	2020年度最多演出敵人前五名！	Most Appearances 2020	2020 최다 출현 적 베스트5
破滅への序曲	破滅的序曲	Prelude to Ruin	파멸의 서곡
絶・台風零号	絕・零號颱風	Typhoon Nihil	속편・제0호 태풍
海底の決闘(旧)	海底的決鬥	Duel Under the Sea	해저의 결투
ネコウエハース降臨	ネコウエハース降臨	ネコウエハース降臨	ネコウエハース降臨
終末ノ連戦場	終末連戰場	The Proving Grounds	종말의 배틀 그라운드
天使と般若	天使與般若	The Angel & The Demon	천사와 반야
女帝と亡者	女帝與亡者	The Queen & The Dead	여왕과 망자
伯爵と乙女	伯爵與乙女	The King & The Maiden	백작과 아가씨
6000万ダウンロード記念 ハッピープレゼント！	6000萬下載紀念 HAPPY大禮！	60M Celebration Gifts Galore!	6000만 다운로드 기념! 해피 선물!
魔導書の示す場所	魔法書暗示的場所	Arcane Confluence	마법서가 가리키는 장소
異界のしもべ	異界的僕人	Servant of Darkness	이계의 종
ネコの解放	解放的貓咪	Wicked Cat	고양이의 해방
タンクネコの解放	解放的坦克貓	Wicked Tank	탱크 고양이의 해방
メガサターン	大魔王	The Great Diablo	메가 사탄
熱血！大玉転がし	熱血！滾大球比賽	River City Ball-Rolling	열혈! 구슬 굴림
熱血！障害物競走	熱血！障礙物競走	River City Challenge Course	열혈! 장애물 경주
