jp	tw	en	kr
【超富豪Ⅱ】|キャラクター総生産額が2億円を突破	【超富豪Ⅱ】|突破"角色總生產額2億元"	★ One Percenter 2 ★|Earn a total of 200000000 cents.	대대부호Ⅱ|캐릭터의 총 생산 코스트 2억원 돌파
【冒険家Ⅰ】|ガマトトの探検時間が1000時間を突破	【冒險家Ⅰ】|突破"加碼多多的探險時間1000小時"	★ World Traveller ★|Send Gamatoto to explore for over 1000 hours.	모험가Ⅰ|가마토토 탐험 시간 1000시간 돌파
【発明家Ⅰ】|にゃんこ砲の主砲を5つ開発	【發明家Ⅰ】|開發"貓咪砲的主砲5個"	★ Innovator ★|Complete 5 Cat Base Weapons	발명가Ⅰ|냥코포의 주포 5개 개발
【ランクアップⅠ】|ユーザーランクが1000に到達	【等級提高Ⅰ】|到達"等級排行1000"	★ Ranked ★|Reach User Rank 1000	랭크업Ⅰ|유저 랭크 1000 달성
【カリスマⅠ】|カリスマ隊員を1人発見	【精英夥伴Ⅰ】|發現"精英隊員1人"	★ May I Assist You? ★|Recruit an Assistant-grade Gamatoto helper.	카리스마Ⅰ|카리스마 대원 1명 발견
【ウルルン】|ウルフとウルルンを獲得	【少女】|獲得"狼與少女"	★ Forest Child ★|Unlock Ururun Wolf	우루룬|울프와 우루룬 획득
【コニャンダム】|コニャンダムを獲得	【貓彈】|獲得"小戰士貓彈"	★ Tiny Nemesis ★|Unlock Li'l Nyandam	야옹마|야옹마 획득
【ミーニャ】|ネコずきんミーニャを獲得	【咪娜】|獲得"貓紅帽咪娜"	★ Under the Hood ★|Unlock Red Riding Mina	냥미|고양이 냥미 획득
【宮木武蔵】|宮木武蔵を獲得	【宮木武藏】|獲得"宮木武藏"	★ Ronin's Redemption ★|Unlock Miyamoku Musashi	무사시|무사시 획득
【ネコライダー】|ぶんぶんネコライダーを獲得	【貓騎士】|獲得"噴噴貓騎士"	★ Buns of Steel ★|Unlock Mecha-Bun	고양이 라이더|고양이 라이더 맴매 획득
【ドグ丸】|土偶戦士ドグ丸を獲得	【喵丸】|獲得"土偶喵丸 "	★ Heart of Clay ★|Unlock Dogumaru	도그마루|토우전사 도그마루 획득
【奈落門】|奈落門をクリア	【奈落門】|通過"奈落門"	★ Tormented ★|Clear "Courts of Torment"	나락문|나락문 스테이지 클리어
【古王妃飛来】|古王妃飛来をクリア	【古王妃飛來】|通過"古王妃飛來"	★ Ancient Dynasty ★|Clear "The Old Queen"	왕비의 비행|왕비의 비행 스테이지 클리어
【聖者降臨】|聖者ポプウ降臨をクリア	【聖者降臨】|通過"聖者波普降臨"	★ Vox Deus ★|Clear "Papuu's Paradise"	성자 강림|성자 강림 스테이지 클리어
【沼の底から】|ほの暗い沼の底からをクリア	【暗沼幽靈】|通過"暗沼幽靈"	★ Murky Details ★|Clear "Bottom of the Swamp"	늪바닥|어두컴컴 늪바닥 클리어
【ウルス】|フェンリルとウルスを獲得	【烏爾斯】|獲得"巨狼與烏爾斯"	★ Clan Urs ★|Unlock Urs & Fenrir	우르스|펜리르와 우르스 획득
【狂乱家族】|大乱闘狂乱ファミリーズをクリア	【狂亂家族】|通過"狂亂家族大亂鬥"	★ Frenzied Family ★|Clear "Clan of the Maniacs"	광란 가족|대난투 광란 패밀리 클리어
【綺羅星ペロ】|綺羅星ペロ降臨をクリア	【綺羅星汪汪】|通過"綺羅星汪汪降臨"	★ Cosmic Wanwan ★|Clear "Wanwan's Glory"	기라성 페로|기라성 페로 강림 스테이지 클리어
【未来奪還Ⅲ】|未来編3章のゾンビステージを全クリア	【奪還未來Ⅲ】|通過未來篇3章全部的"不死生物感染關卡"	★ ...And Stay Dead 3 ★|Clear all Into the Future Ch. 3 Zombie Outbreak Stages	미래 수호Ⅲ|미래편 3장의 좀비 스테이지 모두 클리어
【死霊降臨】|死霊妖精クオリネム降臨をクリア	【死靈降臨】|通過"死靈妖精海蝶降臨"	★ Angel of Undeath ★|Clear "Z-Onel Rises!"	사령 강림|사령요정 쿠오리넴 강림 스테이지 클리어
【はじめてのお遣い】|はじめてのお遣いをクリア	【第一次的差事】|通過"第一次的差事"	★ Helping Out ★|Clear "First Errand"	첫 심부름|첫 심부름 스테이지 클리어
【塔50階】|風雲にゃんこ塔の50階をクリア	【塔50樓】|通過"風雲貓咪塔50樓"	★ Floor 50 ★|Clear the 50th floor of Heavenly Tower	탑 50층|풍운 냥코탑 50층 클리어
【春大集合】|大乱闘　春イベスペシャルをクリア	【春大集合】|通過"大亂鬪  春季特別活動"	★ Rites of Spring ★|Clear "Total War: Spring Special"	봄 대집합|대난투 봄 스페셜 스테이지 클리어
【夏大集合】|大乱闘　夏イベスペシャルをクリア	【夏大集合】|通過"大亂鬪   夏季特別活動"	★ Song of Summer ★|Clear "Total War: Summer Special"	여름 대집합|대난투 여름 스페셜 스테이지 클리어
【秋大集合】|大乱闘　秋イベスペシャルをクリア	【秋大集合】|通過"大亂鬪   秋季特別活動"	★ Feast of Fall ★|Clear "Total War: Fall Special"	가을 대집합|대난투 가을 스페셜 스테이지 클리어
【冬大集合】|大乱闘　冬イベスペシャルをクリア	【冬大集合】|通過"大亂鬪   冬季特別活動"	★ Dance of Winter ★|Clear "Total War: Winter Special"	겨울 대집합|대난투 겨울 스페셜 스테이지 클리어
【春夏秋冬】|季節大集合イベントを全てクリア	【春夏秋冬】|通過全部的"季節大集合"活動	★ Year-Round ★|Clear all Total War season maps	춘하추동|계절 대집합 이벤트 스테이지 모두 클리어
【伝説のネコⅣ】|レジェンドストーリー|ステージレベル4を全クリア	【傳說的貓咪Ⅳ】|通過傳奇故事|全部的"關卡等級4關卡"	★ I Am Legend 4 ★|Clear All Level 4|Stories of Legend stages	전설의 냥코 Ⅳ|레전드 스토리|스테이지 레벨 4를 전부 클리어
【古代生命体撃破】|イディステージをクリア	【擊破古代生命體】|通過"異弟關卡"	★ Elder Annihilator ★|Defeat Idi:Re and clear her stage.	고대 생명체 격파|이디 스테이지 클리어
【破滅への序曲】|破滅への序曲をクリア	【破滅的序曲】|通過"破滅的序曲"	★ Road to Ruin ★|Clear "Prelude to Ruin"	파멸의 서곡|파멸의 서곡 스테이지 클리어
【ドロン】|古神面ドロンを獲得	【多龍】|獲得古神面多龍	★ Go With Doron ★|Unlock Elder Mask Doron	드론|고대 가면신 드론 획득
【悪魔サイクロン】|メガサターンをクリア	【惡魔旋風】|通過"大魔王"	★ Storm of Evil ★|Clear "The Great Diablo"	악마 사이클론|메가 사탄 스테이지 클리어
【魔界】|魔界編をクリア	【魔界】|通過"魔界篇"	★ World of Darkness ★|Clear all stages in "The Aku Realms"	마계|마계편 클리어
【誘惑のシンフォニー】|誘惑のシンフォニーをクリア	【誘惑的交響曲】|通過"誘惑的交響曲"	★ Alluring Composition ★|Clear "Temptation's Symphony"	유혹의 교향곡|유혹의 교향곡 클리어
【羅生門】|羅生門をクリア	【羅生門】|通過"羅生門"	★ Lock the Gates ★|Clear "Rashomon"	라쇼몽|라쇼몽 클리어
【異界塔30階】|異界にゃんこ塔の30階をクリア	【異界塔30樓】|通過"異界貓咪塔30樓"	★ Inferno 30 ★|Clear Floor 30 of the Infernal Tower	이계탑 30층|이계 냥코탑 30층 클리어
【宇宙奪還Ⅰ】|宇宙編1章のゾンビステージを全クリア	【奪還宇宙Ⅰ】|通過宇宙篇1章全部的"不死生物感染關卡"	★ Dead Stars ★|Clear all Cats of the Cosmos Ch. 1 Zombie Outbreak Stages	우주 수호Ⅰ|우주편 1장의 좀비 스테이지 모두 클리어
【ナーラ】|古獣ナーラを獲得	【納拉】|獲得"古獸納拉"	★ Naala Problem ★|Unlock Elder Beast Naala	나라|고대수 나라 획득
【超生命体 ヒュージゴマ】|ヒュージゴマ強襲をクリア	【超生命體 巨大斑海豹桑】|通過"巨大生物強襲"	★ Baron Wasted ★|Clear "Baron Seal Strikes"	초생명체 거대 바・다레오파드|거대 바・다레오파드 강습 클리어
【超生命体 ジャイアント黒蔵】|ジャイアント黒蔵強襲をクリア	【超生命體 巨象黑藏】|通過"巨象黑藏強襲"	★ Le'Grim Reaped ★|Clear "Le'Grim Strikes"	초생명체 자이언트 블랙 빠옹|자이언트 블랙 빠옹 강습 클리어
【超生命体 ギガガガ】|ギガガガ強襲をクリア	【超生命體 巨蛾蛾蛾】|通過"巨蛾蛾蛾強襲"	★ Mega Massacre ★|Clear "Mega Menace"	초생명체 슈퍼 나나나난나방|슈퍼 나나나난나방 강습 클리어
【超生命体 デッカーバチャン】|デッカーバチャン強襲をクリア	【超生命體 巨大河馬星人】|通過"巨大河馬星人強襲"	★ Hyppoh Hysteria ★|Clear "Horrorpotamus"	초생명체 빅 하앜마양|빅 하앜마양 강습 클리어
【超生命体 ビッグペンZ】|ビッグペンZ強襲をクリア	【超生命體 巨大企鵝大哥Z】|通過"巨大企鵝大哥Z強襲"	★ Big Peng in the Neck ★|Clear "Big Peng Z Strikes"	초생명체 빅펜 Z|빅펜 Z 강습 클리어
【超生命体 エクスエル】|大天使エクスエル強襲をクリア	【超生命體 特大號大天使】|通過"特大號大天使強襲"	★ Exiel Exterminated ★|Clear "Divine Archangel Strikes"	초생명체 대천사 엑스엘|대천사 엑스엘 강습 클리어
【異界塔40階】|異界にゃんこ塔の40階をクリア	【異界塔40樓】|通過"異界貓咪塔40樓"	★ Inferno 40 ★|Clear Floor 40 of the Infernal Tower	이계탑 40층|이계 냥코탑 40층 클리어
【真・伝説のネコⅠ】|真レジェンドストーリー|ステージレベル1を全クリア	【真・傳說的貓咪Ⅰ】|通過真傳奇故事|全部的"關卡等級1關卡"	★ I Am Uncanny Legend 1 ★|Clear All Level 1|Uncanny Legend stages	신 전설의 냥코Ⅰ|신 레전드 스토리|스테이지 레벨 1을 모두 클리어
【ネコルーザ】|猿人ネコルーザを獲得	【貓露薩】|獲得”猿人貓露薩”	★ Lord Luza ★|Unlock Ape Lord Luza	고양이 루자|에이프 고양이 루자 획득
【大魔王ニャンダム】|大魔王ニャンダム大降臨をクリア	【大魔王貓彈】|通過"大魔王貓彈大降臨"	★ Infernal Tyrant Nyandam ★|Clear "Reign of the Tyrant"	대마왕 야옹마|대마왕 야옹마 대강림 스테이지 클리어
【真・伝説のネコⅡ】|真レジェンドストーリー|ステージレベル2を全クリア	【真・傳說的貓咪Ⅱ】|通過真傳奇故事|全部的"關卡等級2關卡"	★ I Am Uncanny Legend 2 ★|Clear All Level 2|Uncanny Legend stages	신 전설의 냥코Ⅱ|신 레전드 스토리|스테이지 레벨 2를 모두 클리어
【超生命体 オーメンズ】|オーメンズ強襲をクリア	【超生命體 巨大三惡魔】|通過"巨大三惡魔"	★ Omens ★|Clear the "Omens" Gauntlet Map	초생명체 오멘즈|오멘즈 강습 클리어
【三途の沼のヌシ】|三途の沼のヌシ大降臨をクリア	【三途沼澤之王】|通過”三途沼澤之王大降臨”	★ Sanzu Swamp Guardian ★|Clear "Invasion of the Swamplord"	삼도천 주인|삼도천 주인 대강림 클리어
【宇宙奪還Ⅱ】|宇宙編2章のゾンビステージを全クリア	【奪還宇宙Ⅱ】|通過宇宙篇2章全部的"不死生物感染關卡"	★ Dead Stars II ★|Clear all Cats of the Cosmos Ch. 2 Zombie Outbreak Stages	우주 수호Ⅱ|우주편 2장의 좀비 스테이지 모두 클리어
【真・伝説のネコⅢ】|真レジェンドストーリー|ステージレベル3を全クリア	【真・傳說的貓咪Ⅲ】|通過真傳奇故事|全部的"關卡等級3關卡"	★ I Am Uncanny Legend 3 ★|Clear All Level 3|Uncanny Legend stages	신 전설의 냥코Ⅲ|신 레전드 스토리|스테이지 레벨 3을 모두 클리어
【超獣討伐】|ガープラ密林、アシビニ砂漠|ジャンフォレ火山を全クリア	【討伐超獸】|通過"甲普拉密林"、"亞蜥比沙漠"|和"將弗裂火山"的全部關卡	★ Behemoth Culling ★|Clear all maps for Hidden Forest of Gapra,|Ashvini Desert, and Jinfore Volcano.	초수 토벌|가푸라 밀림, 비시니 사막|르웨이 화산 모두 클리어
【極悪ネコ討伐】|極悪ステージを全クリア	【討伐極惡貓咪】|通過全部的"極惡關卡"	★ Malevolence ★|Clear all Malevolent stages.	극악 고양이 토벌|극악 스테이지 모두 클리어
【異界塔50階】|異界にゃんこ塔の50階をクリア	【異界塔50樓】|通過"異界貓咪塔50樓"	★ Inferno 50 ★|Clear Floor 50 of the Infernal Tower	이계탑 50층|이계 냥코탑 50층 클리어
【ソラクティス】|論の賢者ソラクティスを獲得	【蘇拉格底】|獲得"論之賢者蘇拉格底"	★ Soractes ★|Receive Master of Mind Soractes	소라크테스|논리의 현자 소라크테스 획득
【超生命体 大型土器ダイハニワン】|大型土器ダイハニワン強襲をクリア	【超生命體 大型陶器埴輪巨犬】|通過"大型陶器埴輪巨犬強襲"	★ Gigahaniwan Tamed ★|Clear "Gigahaniwan Strikes!"	초생명체 그레이트 토용뭉이|그레이트 토용뭉이 강습 클리어
【極悪家族】|大乱闘極悪ファミリーズをクリア	【極惡家族】|通過"極惡家族大亂鬥"	★ Heinous Family ★|Clear "Super Smash Families"	극악 가족|대난투 극악 패밀리 클리어
【真・伝説のネコⅣ】|真レジェンドストーリー|ステージレベル4を全クリア	【真・傳說的貓咪Ⅳ】|通過真傳奇故事|全部的"關卡等級4關卡"	★ I Am Uncanny Legend 4 ★|Clear All Level 4 Uncanny Legend stages	신 전설의 냥코Ⅳ|신 레전드 스토리|스테이지 레벨 4를 모두 클리어
【生命の神秘撃破】|ノーヴァステージをクリア	【擊破神秘生命體】|通過"諾瓦關卡"	★ Lifeform's Mysterious Attack ★|Clear Nova Stage	생명의 신비 격파|노바 스테이지 클리어
