id	name_tw	name_jp	price	description	health_point	knockbacks	speed	range	preswing_1	preswing_2	preswing_3	attack_power_1	attack_power_2	attack_power_3	time_between_attacks	backswing	attack_frequency	attack_type	trait	ability_enabled	long_distance_1	long_distance_2	immunity	ability	cd
10	功夫貓	カンフーにゃんこ	1500	隱藏著對於中距離具有絕對破壞能力的|功夫大師。而且還是範圍攻擊。	900	1	9	300	11	0	0	1100	0	0	200	30	210	2	0	4			0		860
10	醉拳貓	酔拳にゃんこ	1500	相信自己越醉越厲害，|傳說中的功夫大師。並具有範圍攻擊	900	1	9	300	11	15	35	242	60	908	176	26	210	2	0	7			0		860
10	舞者貓	ネコダンサー	1500	結合了武與藝的天才貓。|因為見人就害羞而學習往後走路的方法|成為了傳說而觸及範圍更廣（範圍攻擊）	900	1	9	330	35	0	0	1210	0	0	176	26	210	2	0	4			32		860
11	Mr.	Mr.	550	由超人氣的「Mr.」系列來參戰|以超快的速度狂奔抓緊每分秒|瞄準敵人並用機關槍掃射（範圍攻擊）	500	5	31	140	2	0	0	35	0	0	16	16	18	2	0	4			0		480
11	Super Mr.	Super Mr.	550	由超人氣的「Mr.」系列來參戰|以超快的速度狂奔抓緊每分秒|瞄準敵人並用火箭砲掃射（範圍攻擊）	500	5	31	140	2	0	0	35	0	0	16	14	17	2	0	4			0		480
11	Hyper Mr.	Hyper Mr.	550	由超人氣的「Mr.」系列來參戰|以超快的速度狂奔抓緊每分秒|瞄準敵人並用彈簧槍掃射（範圍攻擊）	500	5	47	140	2	0	0	35	0	0	16	14	17	2	0	4			0	5&	480
12	緊縛貓	猫縛り	690	很樂意把自己當肉墊的肉盾型角色|對自己的體力很有自信|善於攻擊「紅色敵人」	700	1	5	120	6	0	0	100	0	0	6	39	45	17	1	4			0	25&	440
12	緊縛貓NEO	猫縛りNEO	690	不斷追求刺激的肉盾型角色|對自己的體力很有自信|善於攻擊「紅色敵人」	700	1	5	120	6	0	0	100	0	0	6	39	45	17	1	4			0	25&	440
12	極上緊縛貓	猫縛り極上	690	求得了究極刺激的肉盾型角色|對自己的體力有著絕對的自信|善於攻擊「紅色敵人」，死前有機會存活	1400	1	5	120	6	0	0	100	0	0	6	39	45	17	1	4			64	25&|2&50	440
13	女王貓	女王猫	960	平常是個OL的中距離型角色|下班之後經常會碰見緊縛貓|攻擊速度快，善於攻擊「紅色敵人」	700	1	5	210	6	17	28	44	44	44	6	17	45	17	1	7			0	25&	440
13	處刑人	処刑人	960	裝成貓咪的可怕中距離型角色|攻擊速度快，善於攻擊「紅色敵人」	700	1	5	210	6	17	28	44	44	44	6	17	45	17	1	7			0	25&	440
13	暗黑姊	暗黒嬢	960	瘋狂亂甩螢光棒的極度危險角色|下班後沉醉在電影世界裡|攻擊速度快，善於攻擊紅色敵人與黑色敵人	700	1	5	210	6	0	0	132	0	0	6	6	12	1	5	4			0	25&	440
14	箱貓	ネコの箱詰め	750	以移動速度最快而驕傲的速攻型角色|用突如其來的一擊|一口氣粉碎敵人（範圍攻擊）	800	3	35	140	8	0	0	300	0	0	0	93	101	18	0	4			0		460
14	惡少貓	ネコギャング	750	因人生痛苦走上不歸路的速攻型角色|用突如其來的一擊|一口氣粉碎敵人（範圍攻擊）	800	3	35	140	8	0	0	300	0	0	0	93	101	18	0	4			0		460
14	重機C・A・T	重機C・A・T	750	金盆洗手後到了工地工作的速攻型角色|用突如其來的一閃一口氣粉碎敵人|有時能使「黑色敵人」攻擊力下降（範圍攻擊）	800	3	30	199	8	0	0	300	0	0	0	93	101	18	4	4			0	21@30!50!200	460
15	三角褲貓	ネコパンツ	350	即便是在嚴寒的地方也能絕佳發揮|具有防寒措施的遠距離攻擊型角色|噁心貓的進化系趣味角色	400	3	10	350	6	0	0	100	0	0	120	6	125	1	0	4			0		330
15	葉子貓	ネコ葉っぱ	350	精於要害防禦的遠距離攻擊型角色。|但是在戰鬥中完全沒有作用|噁心貓的進化系趣味角色	400	3	10	350	6	0	0	100	0	0	120	7	125	1	0	4			0		330
15	害羞貓	ネコぺろきゃん	350	曾經放棄防守能力的遠距離攻擊貓|託親切小貓的福，已經沒事了|此外還取得了範圍攻擊能力	400	3	10	350	6	0	0	100	0	0	120	6	125	2	0	4			0		330
16	萌貓	もねこ	99	希望成為偶像的萌系貓咪|為了感謝地方鄉親父老的支持|今天也四處奔走演唱(有時候會心一擊)	600	4	5	160	28	0	0	400	0	0	100	29	127	1	0	4			0	4&15	1998
16	偶像萌貓	スターもねこ	99	脫穎而出成為全民偶像的貓咪|卻依然很重視每一個粉絲的|偶像界的典範(有時候會心一擊)	1000	4	5	160	28	0	0	400	0	0	100	29	127	1	0	4			0	4&15	1998
16	超級偶像萌貓	スーパースターもねこ	99	經過多年訓練終於成為超級偶像的貓咪|決不會忘記為了自己加油的各位粉絲|能發射小波動，有時候會心一擊	1250	4	5	160	28	0	0	400	0	0	100	29	127	1	0	4			0	4&20|12@100!3	1332
17	輪輪貓	ネコリンリン	700	騎著世界最頂尖的三輪車四處趴趴走的角色|可以一次攻擊所有敵人（範圍攻擊）	400	4	10	170	20	0	0	180	0	0	40	13	59	2	0	4			0		250
17	越野貓	ネコワイルド	700	騎著越野車在野外奔馳的狂野貓咪|可以一次攻擊所有敵人（範圍攻擊）	400	4	10	170	16	0	0	180	0	0	44	31	59	2	0	4			0		250
17	單輪車貓	イチリンリン	350	自由自在騎著單輪車賣藝的貓。|減少車輪數而實現了降低成本的願望|可以一次攻擊所有敵人（範圍攻擊）	400	4	10	170	16	0	0	180	0	0	44	31	59	2	0	4			0		250
18	忍者貓	ネコ忍者	200	在秘境接受了忍者訓練的戰鬥型角色|性能比戰鬥貓還要高|善於攻擊「紅色敵人」	240	3	13	150	6	14	0	14	14	0	8	4	21	1	1	6			0	25&	210
18	蛤蟆忍者貓	ガマネコ忍者	200	透過修煉領悟了忍術的戰鬥型角色|性能比戰鬥貓還要高|善於攻擊「紅色敵人」	240	3	13	150	6	14	0	14	14	0	8	4	21	1	1	6			0	25&	210
18	飛天忍者貓	ムササビネコ忍者	150	用新忍術飛上天的戰鬥型角色|生產成本低可以大量生產的貓咪|善於攻擊「紅色敵人」	240	3	10	150	6	0	0	28	0	0	16	12	21	1	1	4			0	25&	210
19	殭屍貓	ネコゾンビ	750	化了殭屍妝的戰鬥型高級成員|比魚貓更聽話|善於攻擊紅色敵人	700	3	8	150	16	0	0	200	0	0	44	16	59	1	1	4			0	25&	400
19	惡魔貓	デビルネコ	750	化了惡魔妝的戰鬥型高級成員|比魚貓更聽話|善於攻擊紅色敵人	700	3	8	150	16	0	0	200	0	0	44	16	59	1	1	4			0	25&	400
19	骷髏貓	ネコボーン	750	過度興奮心跳不停的戰鬥型高級角色|比魚貓更聽話|善於攻擊紅色敵人和不死生物（範圍攻擊）	700	3	8	150	16	0	0	200	0	0	44	16	59	2	65	4			0	25&|5&	400
20	武士貓	ネコざむらい	350	向武士道奮進的戰鬥型角色|攻擊力和體力都很優秀的|全能型角色	540	3	7	150	18	0	0	130	0	0	40	6	57	1	0	4			0		300
20	騎士貓	ネコナイト	350	遵循騎士道的戰鬥型角色|攻擊力和體力都很優秀的|全能型角色	540	3	7	160	18	0	0	130	0	0	40	6	57	1	0	4			0		300
20	西點師傅	ネコパティシエ	350	修行了菓子道的戰鬥型角色|攻擊時四處飛濺的那些奶油|偶爾可以使敵人的動作變慢	540	3	7	160	18	0	0	130	0	0	40	6	57	1	2551	4			0	23@10!60	300
21	相撲貓	スモウネコ	200	具有很強體力的肉盾角色|性能比坦克貓還要高|攻擊力也不怎麼樣（範圍攻擊）	600	1	8	110	12	20	28	3	3	3	6	6	34	2	0	7			0		270
21	相撲女士	マダム・ザ・スモウ	200	樣貌提升至新境界的肉盾角色|性能比坦克貓還要高|攻擊力也不怎麼樣（範圍攻擊）	600	1	8	110	12	20	28	3	3	3	6	6	34	2	0	7			0		270
21	貓飯糰	ネコにぎり	200	模仿在婚禮上看到灑花情節的肉盾貓|性能比坦克貓還要高|因勤奮鍛鍊而取得神速（範圍攻擊）	600	1	24	110	12	20	28	3	3	3	6	6	34	2	0	7			8		270
22	狂歡貓	ネコフィーバー	50	能讓大家都感到開心的熱舞貓咪|生產成本低|因此可以大量生產	200	3	6	140	14	0	0	20	0	0	30	18	43	1	0	4			0		240
22	嘉年華貓	ネコカーニバル	50	可以讓全世界都感到開心的|祭典貓咪|今天也將瘋狂熱舞	200	3	6	140	14	0	0	20	0	0	30	18	43	1	0	4			0		240
22	ＡＭＩＧＯ貓	ネコアミーゴ	50	帶給全世界單身女郎歡樂氣氛|充滿墨西哥嘉年華風味的角色|偶爾會打飛敵人	200	3	6	140	14	0	0	20	0	0	30	18	43	1	2551	4			0	30@5	240
23	短裙貓	ネコスカート	350	穿著在二手服裝店買的裙子的|遠距離攻擊型角色|噁心貓的進化系趣味角色	400	3	10	350	6	0	0	100	0	0	120	6	125	1	0	4			0		330
23	絲襪貓	ネコタイツ	350	誤把在百貨公司偶然看到的絲襪|當作新的防護用具的遠距離攻擊型角色|噁心貓的進化系趣味角色	400	3	10	350	6	0	0	100	0	0	120	6	125	1	0	4			0		330
23	兜襠布貓	ねこななふん	350	收到網路訂購新款內褲後馬上穿上的貓咪|因為質感好，穿起來舒適|所以攻擊次數提高了，有時候也能破壞護盾	400	3	10	350	6	0	0	100	0	0	80	6	85	1	0	4			0	7@30	330
24	瓦爾基麗貓	ネコヴァルキリー	2000	從天界降臨的女武神|手持神所授予的最強之槍，喵古尼爾|可以一次攻擊所有敵人（範圍攻擊）	1400	2	20	350	20	0	0	500	0	0	110	29	129	2	0	4			0		2200
24	真・瓦爾基麗貓	ネコヴァルキリー・真	2000	轉職後展現真實模樣的女武神|對於神不斷的示愛感到很困擾|可以一次攻擊所有敵人（範圍攻擊）	1400	2	20	350	20	0	0	500	0	0	110	29	129	2	0	4			0		2200
24	瓦爾基麗貓・聖	ネコヴァルキリー・聖	2000	藉由貓咪的力量回到原貌的女武神|手持神新授予的最強之槍，聖喵古尼爾|有時候可使敵人動作短暫停止（範圍攻擊）	1400	2	20	350	20	0	0	720	0	0	110	29	129	2	2551	4			0	22@35!60	2200
25	姆特貓	ネコムート	3000	據說曾讓世界毀滅|傳說中的超古代兵器|以壓倒性的破壞力攻擊敵人（範圍攻擊）	1500	3	6	450	121	0	0	5000	0	0	480	30	600	2	0	4			0		4800
25	狂亂姆特貓	狂乱のネコムート	3000	據說曾讓世界毀滅|被發現原來只是超古代兵器的玩偶服|但仍然具有壓倒性的破壞力攻擊（範圍攻擊）	1500	3	6	450	121	0	0	5000	0	0	480	30	600	2	0	4			0		4800
25	覺醒姆特貓	覚醒のネコムート	3000	據說曾讓世界毀滅|從古代兵器的玩偶服中解放而覺醒的姆特貓|以不滅的威力與速度驅逐敵人（範圍攻擊）	1500	6	60	200	5	10	20	5000	200	300	0	73	93	18	0	4			0		3200
26	飛踢公主	ケリ姫	450	爲了尋求甜點而特別來到貓咪軍團|大絕招是衝刺之後放出的「飛踢」！|即使身在戰場也不忘到處尋找帥哥！？	600	1	35	140	4	0	0	400	0	0	0	177	181	17	0	4			0		800
26	全彩飛踢公主	フルカラーケリ姫	450	爲了尋求甜點而特別來到貓咪軍團|變得更美艷了的男人婆公主|大絕招是衝刺之後放出的「飛踢」！	600	1	35	140	4	0	0	400	0	0	0	177	181	17	0	4			0		800
26	婚紗飛踢公主	ウェディングケリ姫	450	爲了尋求甜點而特別來到貓咪軍團|換上純白婚紗後在紅毯上全速奔馳|正在等待能承受愛之「飛踢」的人出現。	600	1	40	140	4	0	0	800	0	0	0	177	181	17	0	4			0		800
27	貓公主	ネコひめ	450	爲了追求真正的美而來到地球的貓咪|憧憬於在旅途中遇到的公主|所以跑去假髮店買了配件來打扮自己	600	1	35	140	2	0	0	450	0	0	84	159	161	1	0	4			0		700
27	美貓公主	ネコひめビューティ	450	爲了追求真正的美而來到地球的貓咪|憧憬於在旅途中遇到的公主|於是把所有家當都拿去給自己整形	600	1	35	140	2	0	0	450	0	0	84	159	161	1	0	4			0		700
28	膠囊貓	ネコカプセル	444	剛好放置在塑膠製的膠囊裡|嵌入的很具有現代感|擅長高速移動撲擊	1	1	70	140	2	0	0	300	0	0	0	220	222	17	0	4			0		600
28	膠囊兄弟貓	ねこ盛り	444	嵌入在塑膠製膠囊裡的貓，|多了兩兄弟空間顯得恰恰好|擅長高速移動撲擊	1	1	70	140	2	0	0	300	0	0	0	220	222	17	0	4			0		600
29	面具貓	マスクオブネコ	50	傳說面具終於入手的假象冒險者|沒經過同意就戴面具參戰|性能就是…多了副面具罷了	100	3	10	140	8	0	0	8	0	0	30	10	37	1	0	4			0		150
29	摔角選手貓	ネコレスラー	650	終於進入摔角界的假象冒險者|最近沉迷於每天寫部落格|轉職後性能會大幅變化（範圍攻擊）	500	1	8	150	18	0	0	140	0	0	50	8	67	2	0	4			0		600
30	菩薩貓	ネコぼさつ	1100	透過鍛煉心靈來強化了肉體的|奇蹟角色|有時候讓飄浮敵人的移動變慢（範圍攻擊）	960	2	7	270	45	0	0	295	0	0	0	29	74	2	2	4			0	23@40!120	1440
30	千手貓	ネコせんじゅ	1100	將錘鍊之心和紙糊的手臂|裝在背上的奇蹟角色|有時候讓飄浮敵人的移動變慢（範圍攻擊）	1160	2	7	270	45	0	0	495	0	0	0	29	74	2	2	4			0	23@40!120	1440
30	如來貓	ネコにょらい	1100	關懷眾人，菩薩心腸的奇跡貓咪|不過做過頭了還是會發飆（範圍攻擊）|有時候讓飄浮敵人的移動變慢並降低其攻擊力	1160	2	7	300	45	0	0	495	0	0	0	29	74	2	2	4			0	23@40!120|21@30!50!120	1440
31	貓咪番長	ネコ番長	1000	在學校裡沒人是對手的壞貓咪|有時候讓飄浮敵人瞬間動作停止（範圍攻擊）	1000	3	8	250	18	30	46	145	145	145	52	27	97	2	2	7			0	22@16!60	1720
31	憤怒的貓咪番長	怒りのネコ番長	1000	冰箱裡的冰淇淋被老爸吃掉後|就開始變得憤怒的超壞貓咪|有時候讓飄浮敵人瞬間動作停止（範圍攻擊）	1200	3	8	250	18	30	46	255	255	255	52	20	97	2	2	7			2	22@16!60	1720
31	押忍！貓咪番長	押忍！ネコ番長	1000	將怒氣握滿拳頭的小壞壞貓|今天也撿了很多小鋼珠準備去換冰棒|偶爾會讓飄浮敵人與古代種瞬間動作停止(範圍攻擊)	1800	3	8	280	18	30	46	255	255	255	52	20	97	2	130	7			130	22@16!60	1290
32	放浪貓弟	ネコザイル	450	希望在某個舞蹈學校成為首席舞者|容易量產且使用方便的好角色|偶爾會讓紅色敵人的移動變慢	750	5	11	220	36	0	0	750	0	0	160	10	195	1	1	4			0	23@40!120	640
32	裸舞貓	ネコ裸踊り	450	希望在某個舞蹈學校成為首席舞蹈家|但競爭對手太多只能改變發展方向的角色|偶爾會讓紅色敵人的移動變慢	1500	5	11	220	36	0	0	1500	0	0	160	10	195	1	1	4			0	23@40!120	640
32	康康舞貓	ネコカンカン	450	因舞蹈過於激烈而遭某舞蹈學校退學。|充滿挑撥並且帶有刺激感的舞者。|偶爾會讓紅色敵人的移動變慢	2250	5	11	220	36	0	0	2250	0	0	160	10	195	1	1	4			64	23@60!120	640
33	暖桌貓	ねこタツ	480	提高了冬天防寒功能的角色|對上飄浮敵人很耐打|有時候能使飄浮敵人攻擊力下降	1200	1	10	130	42	0	0	100	0	0	0	9	51	1	2	4			0	21@30!50!200|26&	560
33	電視貓	ねこＴＶ	480	為了嚇人而跑到電視裡去|卻再也出不來的作繭自縛幽靈|對飄浮敵人很耐打，有時候能使之攻擊力下降	1600	1	10	130	42	0	0	200	0	0	0	9	51	1	2	4			0	21@30!50!200|26&	560
33	章魚壺貓	ねこタコつぼ	480	因電視節目「捕章大作戰」躲進陶壺後發現|裡面相當舒適而不想出來的貓咪。能抵消波動|對飄浮敵人很耐打，有時候能使其攻擊力下降	1600	1	10	130	42	0	0	300	0	0	0	21	63	1	2	4			0	21@30!50!200|26&|16&	560
34	不明貓	ネコルガ	3000	是貓還是妖沒人知道|完全是個謎樣般的角色|如果進化的話…	500	5	4	140	13	0	0	150	0	0	70	4	82	1	0	4			0		1000
34	不明白骨貓	ケサランパサラン	3000	是貓還是妖沒人知道|完全是個謎樣般的角色|會將所有敵人打飛到後方（範圍攻擊）	1200	1	4	650	89	0	0	1000	0	0	480	32	568	2	2551	4			0	30@100	10000
34	超人白骨貓	ウルトラケサラン	3000	是貓還是巨大英雄化身沒人知道|完全是個謎樣般的角色。會將鋼鐵以外的|敵人打飛，並使其動作停止（範圍攻擊）	1200	1	4	650	89	0	0	2000	0	0	480	32	568	2	2551	4			0	30@100|22@100!60	10000
35	御宅貓	オタネコ	2500	在家裡覺得自己最厲害|在網絡界引起風潮的男人|可以進行超遠距離攻擊(遠距攻擊)	200	1	4	1200	72	0	0	300	0	0	0	169	241	21	0	4	1100	400	0		5000
35	駭客貓	ネコハッカー	2500	只要一個按鈕就能運作一切|畢業於精英大學的高科技貓咪|可以進行超遠距離範圍攻擊(遠距範圍攻擊)	200	1	4	1200	72	0	0	300	0	0	0	169	241	22	0	4	800	400	0		5000
35	高階駭客貓	ネコスーパーハッカー	2500	一根手指都不動就可運作一切的天才駭客|不過前陣子操作虛擬貨幣失手慘遭滑鐵盧|可使鋼鐵以外的敵人動作瞬間變慢(遠距範圍攻擊)	200	1	4	1200	72	0	0	450	0	0	0	169	241	22	2551	4	800	400	0	23@100!60	5000
36	快泳貓	ネコスイマー	450	知道每場勝敗的心酸|背地哭久了而變強的角色|可以給予飄浮敵人超大傷害	750	4	25	185	21	0	0	440	0	0	0	100	121	17	2	4			0	28&	560
36	蝶泳貓	ネコバタフライ	450	由於經歷無邊的苦|而獲得祝福的努力型角色|可以給予飄浮敵人超大傷害	1050	4	25	185	21	0	0	740	0	0	0	100	121	17	2	4			0	28&	560
36	半魚人貓	ネコ半魚人	450	超越了貓咪極限的角色|速度變得更快但也被列入大會出賽黑名單|可以給予飄浮敵人超大傷害	1200	4	36	215	21	0	0	890	0	0	0	100	121	17	2	4			0	28&	560
37	跳跳貓	ネコホッピング	240	在玩具量販店獲得了讓人興奮不已的|交通工具的角色。生產成本低|所以可以量產。死前有機會存活	300	3	10	150	16	0	0	65	0	0	30	33	49	1	0	4			0	2&50	280
37	馬賽貓	ネコマサイ	240	接觸異國文化、並接受異國文化的|角色扮演初學者，生產成本低|所以可以量產。死前有機會存活	400	3	10	150	16	0	0	75	0	0	30	33	49	1	0	4			0	2&50	280
37	跳跳殭屍貓	ネコキョンシー	160	受到異國恐怖電影影響的角色裝扮者|額頭的符咒就是現在的全財產。生產成本低|所以可以量產。必定可以死前存活一次	400	3	10	150	16	0	0	105	0	0	30	33	49	1	0	4			0	2&100	280
38	車輪貓	ネコ車輪	700	因妖怪熱潮而將自己|變成妖怪模樣的角色，|能給予異星戰士超大傷害（範圍攻擊）	600	2	9	170	29	0	0	220	0	0	40	12	68	2	32	4			0	28&	600
38	太陽貓	ネコ太陽	700	因日蝕熱潮而|將自己變成太陽系模樣的角色，|能給予異星戰士超大傷害（範圍攻擊）	800	2	9	170	29	0	0	320	0	0	40	12	68	2	32	4			0	28&	600
38	雪花貓	ネコクール	700	配合CoolBiz而進化爲|一身清涼裝扮的角色|能給予異星戰士超大傷害（範圍攻擊）	800	2	9	200	29	0	0	420	0	0	40	12	68	2	32	4			0	28&	400
39	蘋果貓	ネコリンゴ	550	將順著河漂流而下的|巨大蘋果當作外殼的角色|偶爾會讓紅色敵人瞬間動作停止	900	3	12	180	6	0	0	190	0	0	36	90	96	17	1	4			0	22@40!60	640
39	臉貓	カオルくん	550	把遺落在路邊|不明的殘骸當作外殼的角色|偶爾會讓紅色敵人瞬間動作停止	1200	3	12	180	6	0	0	390	0	0	36	90	96	17	1	4			0	22@40!60	640
39	iCat	ネコアップル	550	以彩色的巨大蘋果當作外殼的角色|總穿黑色高領衫的他靈機一動即影響全世界|必定能讓紅色敵人動作停止(範圍攻擊)	1200	3	12	180	6	0	0	390	0	0	36	90	96	18	1	4			0	22@100!60	640
40	浴缸貓	ネコバスたぶ	500	具有潔癖的遠距離攻擊型角色|可以給予紅色敵人超大傷害	400	3	9	400	35	0	0	400	0	0	160	35	194	1	1	4			0	28&	1200
40	性感浴缸貓	セクシーネコバスたぶ	500	具有潔癖的遠距離攻擊型角色|對於除毛絕不怠惰|可以給予紅色敵人超大傷害	700	3	9	400	35	0	0	600	0	0	160	35	194	1	1	4			0	28&	1200
40	黃金浴缸貓	ネコバスたぶゴールデン	500	具有潔癖的遠距離攻擊型角色|把骯髒的黃金洗乾淨做成的浴缸|可以給予紅色敵人造成超大傷害	1200	3	9	400	35	0	0	600	0	0	110	35	144	1	1	4			0	28&	1200
41	美容貓	ネコエステ	600	只要可以變美，花錢絕不手軟|與美腿角色的組合簡直是美的極致！|具有遠距離範圍攻擊能力的寶貴角色	480	3	10	350	7	0	0	180	0	0	120	5	126	2	0	4			0		330
41	巴黎時尚貓	ネコジェンヌ	600	被粉絲稱為巴黎小姐|任何時候都受到注目的時尚角色|具有遠距離範圍攻擊能力的寶貴角色	580	3	10	350	7	0	0	250	0	0	120	5	126	2	0	4			0		330
41	窈窕佳人貓	ネコパーフェクト	600	磨練自己到極限後人工化的貓|那完美比例身材是世上女人們的憧憬|具有遠距離範圍攻擊能力的寶貴角色	580	3	10	350	7	0	0	320	0	0	120	14	126	2	0	4			32		330
42	冰雪貓	ネコアイス	2200	從冰雪世界降臨的少女|心被奪走了的貓咪（範圍攻擊）|有時候讓紅色敵人暫時動作停止	1400	3	8	325	54	0	0	900	0	0	130	17	183	2	1	4			0	22@50!120	2000
