id	reward	icon
117	招福轉蛋券		
118	招福轉蛋G券		
119	招福轉蛋G券		
120	招福轉蛋G券		
121	招福轉蛋G券		
122	招福轉蛋券		
123	回歸禮包		
124	招福轉蛋G券		
125	招福轉蛋G券		
126	招福轉蛋券		
127	招福轉蛋券		
128	招福轉蛋G券		
129	招福轉蛋G券		
130	招福轉蛋G券		
131	招福轉蛋G券		
132	招福轉蛋券		
133	招福轉蛋G券		
134	招福轉蛋券		
135	招福轉蛋G券		
136	招福轉蛋券		
137	聖魔大戰巧克力		
138	招福轉蛋G券		
139	招福轉蛋券		
140	菊石		
141	招福轉蛋G券		
142	招福轉蛋G券		
143	招福轉蛋券		
144	招福轉蛋G券		
145	傳說券		
146	招福轉蛋G券		
147	招福轉蛋券		
148	招福轉蛋券		
149	招福轉蛋G券		
150	招福轉蛋G券		
151	土豪貓3小時無限使用		
152	貓型電腦3小時無限使用		
153	狙擊手3小時無限使用		
154	招福轉蛋G券		
155	招福轉蛋券		
156	招福轉蛋G券		
157	白金券碎片		
158	傳說的捕蟲網		
159	XP 5000		
160	惡貓薄荷種子		
161	惡貓薄荷		
162	伝説のにんじん		
163	はてなボックス		
164	黃金貓薄荷種子		
165	伝説の縁起物		
166	傳說的情書		
167	紫獸石		
168	紅獸石		
169	蒼獸石		
170	翠獸石		
171	黃獸石		
172	傳說的聖水		
173	傳說的捕蟲網		
174	青銅勳章		
175	白銀勳章		
176	黃金勳章		
177	白金勳章		
178	伝説のフリーパス		
179	紫獸結晶		
180	紅獸結晶		
181	蒼獸結晶		
182	翠獸結晶		
183	黃獸結晶		
184	彩虹獸石		
185	傳說金元寶		
186	傳說的情書		
187	紅磚Z		
188	羽毛Z		
189	備長炭Z		
190	鋼製齒輪Z		
191	黃金Z		
192	宇宙石Z		
193	神秘骨頭Z		
194	菊石Z		
195	傳說的聖水		
196	傳說的捕蟲網		
197	XP 1000000		
198	伝説のちいさいメダル		
199	傳說金元寶		
200	傳說的情書		
201	經驗值		
202	傳說的聖水		
203	傳說的捕蟲網		
204	傳說的陷阱		
205	聖魔大戰巧克力		
206	傳說的靈魂		
207	軍資金		
208	伝説の縁起物		
209	ダミー		
210	ダミー		
211	ダミー		
212	1億下載紀念轉蛋券		
213	傳說的情書		
214	伝説の買い物かご		
215	伝説のダンベル		
1000	$54		
1001	$63		
1002	飛踢公主（已廢棄）		
1003	$70		
1004	$74		
1005	$60		
1006	$77		
1007	$79		
1008	$80		
1009	$81		
1010	$100		
1011	$103		
1012	$104		
1013	$109		
1014	$122		
1015	$128		
1016	$132		
1017	$139		
1018	$176		
1019	$183		
1020	$202		
1021	$213		
1022	$227		
1023	$244		
1024	$260		
1025	$282		
1026	$284		
1027	$287		
1028	$303		
1029	$273		
1030	$319		
1031	$324		
1032	$329		
1033	$108		
1035	$140		
1036	$379		
1037	$382		
1038	$418		
1039	$343		
1040	$442		
1041	$452		
1042	$464		
1043	$501		
1044	$507		
1045	$521		
1046	$527		
1047	$528		
1048	$531		
1049	$532		
1050	$539		
1051	$545		
1052	$553		
1053	$581		
1054	$613		
1055	$621		
1056	$623		
1057	$630		
1058	$653		
1059	$656		
1060	$669		
1061	$685		
1062	$691		
1063	$695		
1064	$700		
1065	$708		
1066	$718		
1067	$720		
1068	$728		
1069	$780		
1070	$785		
1100	$60		
1101	$78		
1102	$88		
1103	$91		
1104	$92		
1105	$93		
1106	$94		
1107	$95		
1108	$96		
1109	$97		
1110	$98		
1111	$99		
1112	$120		
1113	$130		
1114	$126		
1115	$156		
1116	$154		
1117	$167		
1118	$172		
1119	$179		
1120	$201		
1121	$214		
1122	$69		
1123	$249		
1124	$250		
1125	$251		
1126	$252		
1127	$253		
1128	$254		
1129	$255		
1130	$267		
1131	$268		
1132	$277		
1133	$281		
1134	$299		
1135	$301		
1137	$315		
1138	$320		
1139	$323		
1140	$340		
1141	$353		
1142	$373		
1143	$385		
1144	$389		
1145	$387		
1146	$386		
1147	$388		
1148	$399		
1149	$402		
1150	$404		
1151	$419		
1152	$420		
1153	$421		
1154	$422		
1155	$423		
1156	$424		
1157	$426		
1158	$432		
1159	$133		
1160	$175		
1161	$465		
1162	$473		
1163	$480		
1164	$483		
1165	$492		
1166	$503		
1167	$508		
1168	$518		
1169	$524		
1170	$538		
1171	$540		
1172	$568		
1173	$604		
1174	$611		
1175	$638		
1176	$639		
1177	$677		
1178	$678		
1179	$701		
1180	$702		
1181	$703		
1182	$704		
1183	$743		
1184	$752		
1185	$771		
10010	#9		
10011	#10		
10012	#11		
10013	#12		
10014	#13		
10015	#14		
10016	#15		
10018	#17		
10019	#18		
10020	#19		
10021	#20		
10022	#21		
10023	#22		
10024	#23		
10027	#26		
10061	#60		
10064	#63		
10070	#69		
10071	#70		
10075	#74		
10078	#77		
10079	#78		
10080	#79		
10081	#80		
10082	#81		
10089	#88		
10092	#91		
10093	#92		
10094	#93		
10095	#94		
10096	#95		
10097	#96		
10098	#97		
10099	#98		
10100	#99		
10101	#100		
10104	#103		
10105	#104		
10110	#109		
10120	#120		
10122	#121		
10123	#122		
10127	#126		
10128	#127		
10129	#128		
10133	#132		
10134	#133		
10140	#139		
10155	#154		
10180	#179		
10184	#183		
10192	#191		
10202	#201		
10210	#209		
10211	#210		
10212	#211		
10246	#245		
10247	#246		
10248	#247		
10250	#249		
10251	#250		
10252	#251		
10253	#252		
10254	#253		
10255	#254		
10256	#255		
10257	#256		
10261	#260		
10268	#267		
10274	#273		
10285	#284		
10288	#287		
10300	#299		
10301	#300		
10304	#303		
10312	#311		
10313	#312		
10314	#313		
10321	#320		
10325	#324		
10330	#329		
10341	#340		
10348	#347		
10353	#352		
10354	#353		
10370	#369		
10380	#379		
10383	#382		
10384	#383		
10386	#385		
10403	#402		
10406	#405		
10443	#442		
10453	#452		
10474	#473		
10475	#474		
10493	#492		
10522	#521		
10528	#527		
10529	#528		
10532	#531		
10540	#539		
10546	#545		
10554	#553		
10555	#554		
10622	#621		
10630	#629		
10637	#636		
10646	#645		
10655	#654		
10663	#662		
10668	#667		
10685	#684		
10689	#688		
10695	#694		
15017	#16		
15031	#30		
15032	#31		
15033	#32		
15034	#33		
15035	#34		
15036	#35		
15037	#36		
15038	#37		
15039	#38		
15040	#39		
15041	#40		
15042	#41		
15043	#42		
15044	#43		
15045	#44		
15047	#46		
15048	#47		
15049	#48		
15050	#49		
15051	#50		
15052	#51		
15053	#52		
15056	#55		
15057	#56		
15058	#57		
15059	#58		
15060	#59		
15062	#61		
15067	#66		
15068	#67		
15069	#68		
15072	#71		
15073	#72		
15074	#73		
15076	#75		
15077	#76		
15084	#83		
15085	#84		
15086	#85		
15087	#86		
15088	#87		
15106	#105		
15107	#106		
15108	#107		
15112	#111		
15120	#119		
15124	#123		
15125	#124		
15126	#125		
15130	#129		
15135	#134		
15136	#135		
15137	#136		
15138	#137		
15139	#138		
15144	#143		
15145	#144		
15146	#145		
15147	#146		
15148	#147		
15149	#148		
15150	#149		
15151	#150		
15152	#151		
15153	#152		
15154	#153		
15159	#158		
15160	#159		
15161	#160		
15162	#161		
15169	#168		
15170	#170		
15172	#171		
15174	#173		
15175	#174		
15178	#177		
15181	#180		
15186	#185		
15188	#187		
15189	#188		
15195	#194		
15196	#195		
15197	#196		
15198	#197		
15199	#198		
15200	#199		
15204	#203		
15213	#212		
15214	#213		
15223	#222		
15224	#223		
15225	#224		
15226	#225		
15227	#226		
15228	#227		
15229	#228		
15238	#237		
15239	#238		
15240	#239		
15241	#240		
15242	#241		
15249	#248		
15258	#257		
15259	#258		
15260	#259		
15262	#261		
15271	#270		
15272	#271		
15273	#272		
15277	#276		
15283	#282		
15284	#283		
15287	#286		
15289	#288		
15290	#289		
15303	#302		
15305	#304		
15306	#305		
15307	#306		
15308	#307		
15309	#308		
15311	#310		
15315	#314		
15317	#316		
15320	#319		
15323	#322		
15326	#325		
15331	#330		
15332	#331		
15333	#332		
15335	#334		
15336	#335		
15337	#336		
15338	#337		
15339	#338		
15342	#341		
15345	#344		
15346	#345		
15352	#351		
15356	#355		
15358	#357		
15359	#358		
15360	#359		
15361	#360		
15362	#361		
15363	#362		
15371	#370		
15377	#376		
15378	#377		
15391	#390		
15392	#391		
15393	#392		
15394	#393		
15395	#394		
15396	#395		
15397	#396		
15398	#397		
15402	#401		
15410	#409		
15411	#410		
15414	#413		
15415	#414		
15418	#417		
15428	#427		
15432	#431		
15437	#436		
15438	#437		
15440	#439		
15441	#440		
15444	#443		
15445	#444		
15446	#445		
15447	#446		
15448	#447		
15449	#448		
15451	#450		
15457	#456		
15468	#467		
15469	#468		
15470	#469		
15472	#471		
15473	#472		
15480	#479		
15483	#482		
15489	#488		
15496	#495		
15497	#496		
15503	#502		
15506	#505		
15507	#506		
15512	#511		
15520	#519		
15523	#522		
15524	#523		
15526	#525		
15534	#533		
15535	#534		
15547	#546		
15557	#556		
15560	#559		
15564	#563		
15565	#564		
15566	#565		
15567	#566		
15568	#567		
15570	#569		
15571	#570		
15585	#584		
15590	#589		
15595	#594		
15596	#595		
15608	#607		
15611	#610		
15615	#614		
15618	#617		
15619	#618		
15620	#619		
15621	#620		
15626	#625		
15632	#631		
15633	#632		
15634	#633		
15635	#634		
15643	#642		
15645	#644		
15648	#647		
15650	#649		
15656	#655		
15657	#656		
15659	#658		
15660	#659		
15661	#660		
15664	#663		
15665	#664		
15666	#665		
15669	#668		
15670	#669		
15671	#670		
15675	#674		
15676	#675		
15677	#676		
15683	#682		
15684	#683		
15686	#685		
15692	#691		
15693	#692		
15698	#697		
15701	#700		
15707	#706		
15708	#707		
15714	#713		
15717	#716		
15718	#717		
15721	#720		
15725	#724		
15731	#730		
15758	#757		
15766	#765		
16131	#130		
16173	#172		
16269	#268		
16324	#323		
16427	#426		
16463	#462		
16465	#464		
16533	#532		
16569	#568		
16614	#613		
16654	#653		
18025	#24		
18026	#25		
19001	#0		
19002	#1		
19003	#2		
19004	#3		
19005	#4		
19006	#5		
19007	#6		
19008	#7		
19009	#8		
19010	#643		
30000	提升傷害 D: 紅		
30001	提升傷害 C: 紅		
30002	提升傷害 B: 紅		
30003	提升傷害 A: 紅		
30004	提升傷害 S: 紅		
30005	減輕傷害 D: 紅		
30006	減輕傷害 C: 紅		
30007	減輕傷害 B: 紅		
30008	減輕傷害 A: 紅		
30009	減輕傷害 S: 紅		
30010	提升傷害 D: 浮		
30011	提升傷害 C: 浮		
30012	提升傷害 B: 浮		
30013	提升傷害 A: 浮		
30014	提升傷害 S: 浮		
30015	減輕傷害 D: 浮		
30016	減輕傷害 C: 浮		
30017	減輕傷害 B: 浮		
30018	減輕傷害 A: 浮		
30019	減輕傷害 S: 浮		
30020	提升傷害 D: 黑		
30021	提升傷害 C: 黑		
30022	提升傷害 B: 黑		
30023	提升傷害 A: 黑		
30024	提升傷害 S: 黑		
30025	減輕傷害 D: 黑		
30026	減輕傷害 C: 黑		
30027	減輕傷害 B: 黑		
30028	減輕傷害 A: 黑		
30029	減輕傷害 S: 黑		
30030	減輕傷害 D: 鋼		
30031	減輕傷害 C: 鋼		
30032	減輕傷害 B: 鋼		
30033	減輕傷害 A: 鋼		
30034	減輕傷害 S: 鋼		
30035	提升傷害 D: 天		
30036	提升傷害 C: 天		
30037	提升傷害 B: 天		
30038	提升傷害 A: 天		
30039	提升傷害 S: 天		
30040	減輕傷害 D: 天		
30041	減輕傷害 C: 天		
30042	減輕傷害 B: 天		
30043	減輕傷害 A: 天		
30044	減輕傷害 S: 天		
30045	提升傷害 D: 異		
30046	提升傷害 C: 異		
30047	提升傷害 B: 異		
30048	提升傷害 A: 異		
30049	提升傷害 S: 異		
30050	減輕傷害 D: 異		
30051	減輕傷害 C: 異		
30052	減輕傷害 B: 異		
30053	減輕傷害 A: 異		
30054	減輕傷害 S: 異		
30055	提升傷害 D: 死		
30056	提升傷害 C: 死		
30057	提升傷害 B: 死		
30058	提升傷害 A: 死		
30059	提升傷害 S: 死		
30060	減輕傷害 D: 死		
30061	減輕傷害 C: 死		
30062	減輕傷害 B: 死		
30063	減輕傷害 A: 死		
30064	減輕傷害 S: 死		
30065	強化善於攻擊 D: 紅		
30066	強化善於攻擊 C: 紅		
30067	強化善於攻擊 B: 紅		
30068	強化善於攻擊 A: 紅		
30069	強化善於攻擊 S: 紅		
30070	強化超大傷害 D: 紅		
30071	強化超大傷害 C: 紅		
30072	強化超大傷害 B: 紅		
30073	強化超大傷害 A: 紅		
30074	強化超大傷害 S: 紅		
30075	強化很耐打 D: 紅		
30076	強化很耐打 C: 紅		
30077	強化很耐打 B: 紅		
30078	強化很耐打 A: 紅		
30079	強化很耐打 S: 紅		
30080	強化善於攻擊 D: 浮		
30081	強化善於攻擊 C: 浮		
30082	強化善於攻擊 B: 浮		
30083	強化善於攻擊 A: 浮		
30084	強化善於攻擊 S: 浮		
30085	強化超大傷害 D: 浮		
30086	強化超大傷害 C: 浮		
30087	強化超大傷害 B: 浮		
30088	強化超大傷害 A: 浮		
30089	強化超大傷害 S: 浮		
30090	強化很耐打 D: 浮		
30091	強化很耐打 C: 浮		
30092	強化很耐打 B: 浮		
30093	強化很耐打 A: 浮		
30094	強化很耐打 S: 浮		
30095	強化善於攻擊 D: 黑		
30096	強化善於攻擊 C: 黑		
30097	強化善於攻擊 B: 黑		
30098	強化善於攻擊 A: 黑		
30099	強化善於攻擊 S: 黑		
30100	強化超大傷害 D: 黑		
30101	強化超大傷害 C: 黑		
30102	強化超大傷害 B: 黑		
30103	強化超大傷害 A: 黑		
30104	強化超大傷害 S: 黑		
30105	強化很耐打 D: 黑		
30106	強化很耐打 C: 黑		
30107	強化很耐打 B: 黑		
30108	強化很耐打 A: 黑		
30109	強化很耐打 S: 黑		
30110	強化善於攻擊 D: 天		
30111	強化善於攻擊 C: 天		
30112	強化善於攻擊 B: 天		
30113	強化善於攻擊 A: 天		
30114	強化善於攻擊 S: 天		
30115	強化超大傷害 D: 天		
30116	強化超大傷害 C: 天		
30117	強化超大傷害 B: 天		
30118	強化超大傷害 A: 天		
30119	強化超大傷害 S: 天		
30120	強化很耐打 D: 天		
30121	強化很耐打 C: 天		
30122	強化很耐打 B: 天		
30123	強化很耐打 A: 天		
30124	強化很耐打 S: 天		
30125	強化善於攻擊 D: 異		
30126	強化善於攻擊 C: 異		
30127	強化善於攻擊 B: 異		
30128	強化善於攻擊 A: 異		
30129	強化善於攻擊 S: 異		
30130	強化超大傷害 D: 異		
30131	強化超大傷害 C: 異		
30132	強化超大傷害 B: 異		
30133	強化超大傷害 A: 異		
30134	強化超大傷害 S: 異		
30135	強化很耐打 D: 異		
30136	強化很耐打 C: 異		
30137	強化很耐打 B: 異		
30138	強化很耐打 A: 異		
30139	強化很耐打 S: 異		
30140	強化善於攻擊 D: 死		
30141	強化善於攻擊 C: 死		
30142	強化善於攻擊 B: 死		
30143	強化善於攻擊 A: 死		
30144	強化善於攻擊 S: 死		
30145	強化超大傷害 D: 死		
30146	強化超大傷害 C: 死		
30147	強化超大傷害 B: 死		
30148	強化超大傷害 A: 死		
30149	強化超大傷害 S: 死		
30150	強化很耐打 D: 死		
30151	強化很耐打 C: 死		
30152	強化很耐打 B: 死		
30153	強化很耐打 A: 死		
30154	強化很耐打 S: 死		
30155	提升傷害 D: 惡		
30156	提升傷害 C: 惡		
30157	提升傷害 B: 惡		
30158	提升傷害 A: 惡		
30159	提升傷害 S: 惡		
30160	減輕傷害 D: 惡		
30161	減輕傷害 C: 惡		
30162	減輕傷害 B: 惡		
30163	減輕傷害 A: 惡		
30164	減輕傷害 S: 惡		
30165	強化善於攻擊 D: 惡		
30166	強化善於攻擊 C: 惡		
30167	強化善於攻擊 B: 惡		
30168	強化善於攻擊 A: 惡		
30169	強化善於攻擊 S: 惡		
30170	強化超大傷害 D: 惡		
30171	強化超大傷害 C: 惡		
30172	強化超大傷害 B: 惡		
30173	強化超大傷害 A: 惡		
30174	強化超大傷害 S: 惡		
30175	強化很耐打 D: 惡		
30176	強化很耐打 C: 惡		
30177	強化很耐打 B: 惡		
30178	強化很耐打 A: 惡		
30179	強化很耐打 S: 惡		
30180	提升傷害 D: 古		
30181	提升傷害 C: 古		
30182	提升傷害 B: 古		
30183	提升傷害 A: 古		
30184	提升傷害 S: 古		
30185	減輕傷害 D: 古		
30186	減輕傷害 C: 古		
30187	減輕傷害 B: 古		
30188	減輕傷害 A: 古		
30189	減輕傷害 S: 古		
30190	強化善於攻擊 D: 古		
30191	強化善於攻擊 C: 古		
30192	強化善於攻擊 B: 古		
30193	強化善於攻擊 A: 古		
30194	強化善於攻擊 S: 古		
30195	強化超大傷害 D: 古		
30196	強化超大傷害 C: 古		
30197	強化超大傷害 B: 古		
30198	強化超大傷害 A: 古		
30199	強化超大傷害 S: 古		
30200	強化很耐打 D: 古		
30201	強化很耐打 C: 古		
30202	強化很耐打 B: 古		
30203	強化很耐打 A: 古		
30204	強化很耐打 S: 古		
