jp	tw	en	kr
閻魔大王	閻魔王	Lord Enma	염마대왕
ハシル君	奔跑君	Dashing Face	달리는군
ゴーストわんこ	幽靈狗仔	Ghost Doge	고스트 멍뭉이
ゴーストにょろ	幽靈扭扭蛇	Ghost Snache	고스트 낼름이
ゴーストメェメェ	幽靈咩咩	Ghost Baa Baa	고스트 메에메에
花火職人（高空）	煙火職人（高空）	Fireworks Guys (High-Yield)	폭죽 장인 (고공)
花火職人（低空）	煙火職人（低空）	Fireworks Guys (Low-Yield)	폭죽 장인 (저공)
バトルクマッチョ	戰鬥肌熊	Mighty Gui Zuli	배틀 쿠마쵸
ぺ仙人	企仙人	Hermit Peng	펭 도사
マスターダッフン	拉腸狗老師	Master Da Xun	마스터 독
豚戦わんこ	豬狗仔	Pigge Back	엘리자베스와 멍뭉이즈
エンジェルサイクロン	天使旋風	Divine Cyclone	엔젤 사이클론
天使カバちゃん	河馬將天使	Heavenly Hippoe	천사 하마양
天使ガブリエル	加百列天使	Gabriel	천사 가브리엘
天使ゴンザレス	落猩天使	Angelic Gory	천사 곤잘레스
天使愛好家	天使愛好家	Angel Fanboy	천사 애호가
カベわんこ	壁犬	Wall Doge	벽 멍뭉이
赤毛のにょろ	紅髮扭扭蛇	Ginger Snache	빨간 털의 낼름이
マンボーグ鈴木	生化魚鈴木	Sunfish Jones	천사 개복치
ド鳩・サブ・レー	背負・和平・鴿	Pigeon de Sable	구구
ブラッコ	黑色破壞一族	Dark Otter	블랙 두드리
天使スレイプニール	天使斯雷普尼爾	Angelic Sleipnir	엔젤 슬레이프니르
日の出わんこ	日出狗仔	Sunrise Doge	일출 멍뭉이
ネコマッチョ	猛男貓	Beefcake Cat	고양이 마초
ネコダンサー	舞者貓	Dancer Cat	고양이 댄서
Hyper Mr.	Hyper Mr.	Hyper Mr.	Hyper Mr.
猫縛り極上	極上緊縛貓	Ultimate Bondage Cat	고양이 밧줄 궁극
暗黒嬢	暗黑姊	Dark Lazer	다크 라이더
重機C・A・T	重機C・A・T	Heavy Assault C.A.T.	중기 C・A・T
ネコぺろきゃん	害羞貓	Lollycat	고양이 캔디
イチリンリン	單輪車貓	Unicycle Cat	고양이 외발자전거
ムササビネコ忍者	飛天忍者貓	Flying Ninja Cat	날다람 고양이 닌자
ネコボーン	骷髏貓	Skelecat	고양이 해골
ネコパティシエ	西點師傅	Pastry Cat	고양이 파티쉐
ネコにぎり	貓飯糰	Riceball Cat	고양이 주먹밥
ネコアミーゴ	ＡＭＩＧＯ貓	Gato Amigo	고양이 아미고
ねこななふん	兜襠布貓	Loincloth Cat	고양이 훈도시
はぐれたヤツ	浪子漢	Trolly Blogger	놈1
メタルわんこ	鋼鐵狗仔	Metal Doge	메탈 멍뭉이
コニャンダム	小戰士貓彈	Li'l Nyandam	꼬맹이 야옹마
松 黒蔵	松黑藏	Le'noir	블랙 빠옹
工房マンボウ	工房曼波魚	Young Man Mola	젊은이 개복치
マンボ王	曼波魚王	Mola King	개복치 왕
ハマンボ崎あゆみ	歌后曼波魚崎A・Y・U	Ayumi Manbosaki	미스 개복치
タスマニアオオガニ	巨大擬濱蟹	Tasmanian Giant Crab	태즈메이니아 대게
イワシ	沙丁魚	Sardine	정어리
イカ	烏賊	Squid	오징어
マーチン	快閃無尾熊	Marching Kory	마치알라
タクヤ	拓也	Takuya	타쿠야
ユキ	小雪	Yuki	유키
天使ヒオコエル	天使小雞	Chickful A	천사 뼝아리젤
ハルシュト	哈爾修特	Hearscht	하루슈토
コーネリア	可納莉亞	Cornelia	코넬리아
アロイス	阿洛伊斯	Alois	알로이스
にゃんこ化癒術士	喵化癒術士	Healer Cat	냥코화 유술사
エイリワン	汪仔星人	Shibalien	에이리뭉
ワーニック	鱷星宅宅	Kroxo	아거리언
カーバチャン	河馬星人	Hyppoh	하앜마양
ゴマサーマン	斑海星人	Imperator Sael	스・타레오파드
レディ・ガ	蛾星女神	Maawth	날랄라라라방
デカメガネル	眼猴星人	LeMurr	빅글래숭이
ヤドカリー	寄居星人	Helmut Krabbe	소라게게
カヲルさん	臉星人	I.M. Phace	대머리군
クマンチュー	熊星人	Ursamajor	쿠만츄
破壊生物クオリネン	破壞生物異星海蝶	Cli-One	파괴생물 쿠오리넨
イノヴァルカン	豬大哥	Nimoy Bore	불칸 보어
エリザベス56世	伊麗莎白56世	Elizabeth the LVIth	엘리자베스 56세
スペースサイクロン	異星旋風	Cosmic Cyclone	스페이스 사이클론
ギャラクシーニャンダム	銀河貓彈	Galactic Overseer Nyandam	갤럭시 야옹마
反逆のヴァルキリー	反叛的瓦爾基麗貓	Corrupted Valkyrie	반역의 발키리
ハサミーマン	異星袋拳	Scissoroo	캥가위 맨
サイバーX	CyberX	Cyberhorn	사이버 X
プドール夫人	異星貴賓	Mistress Celeboodle	푸들 귀부인
教授	豪豬教授	Professor A.	교수님
1億1000万DL記念ケーキわんこ	1億1000萬下載紀念蛋糕狗仔	110M DL Anniv. Doge Cake	1억 1000만 DL 기념 케이크 멍뭉이
マーズピープル	火星人	MARS PEOPLE	마즈 피플
モーデン元帥	惡魔化身・莫丁	DONALD MORDEN	모덴 원수
アレン・オニール	艾倫‧歐尼爾	ALLEN O'NEIL	알렌 오닐
マルコ	馬可	MARCO	마르코
SV-001	SV-001	SV-001	SV-001
ヒュージハーミット	超巨型戰車	HUGE HERMIT	휴즈 허미트
ジュピターキング	木星王者	JUPITER KING	주피터 킹
ハイ・ドゥ	海德	HI-DO	하이 도
わんぷきん	南瓜狗仔	Pumpkin Doge	멍프킨
まゆげ伯爵	眉毛伯爵	Count Owlbrow	눈썹 백작
ドバット	黑蝙蝠	Vlad de Sable	배트 구구
カルピンチョ	披著水豚皮的水豚	Capy	까르삔초
バトルコアラッキョ	戰鬥無尾熊球	Berserkory	배틀 코알락교
ツバメンズ	燕梓南	Brollow	제비족
よっちゃん	小魷	Calamary	찡찡어
アルパッカ	羊駝背	Alpacky	알파카
ヨキカナ	善哉	Elder Sloth	할배 늘보보
パラサイトブンブン	寄生噴噴	Bun Bun Symbiote	패러사이트 맴매
暴走のネコムート	暴走姆特貓	Raging Bahamut Cat	폭주한 고양이무트
ナカイサンタ	聖誕紅粥董	Christmas D.	사순록산타
剣士	劍士	Castle Guard	검사
騎馬兵	騎馬兵	Castle Horseman	기마병
アシュラ	阿修羅	Ashura	아수라
バトルバルーン	戰鬥熱氣球	Battle Balloon	배틀 벌룬
ドラゴンライダー	龍騎士	Dragon Rider	드래곤 라이더
プリティキャット	萌貓女	Pretty Cat	프리티 캣
サイクロプス	獨眼藍胖	Cyclops	사이클롭스
ゴーレム	巨魔像	Golem	골렘
明王の剣士	明王劍士	Wise Swordsman	명왕의 검사
迅雷の黒騎馬兵	勇猛黑騎兵	Black Thunder Rider	신뢰의 흑기마병
傾奇者アシュラ	羅睺阿修羅	Kabuki Ashura	가부키 아수라
バトルバルーンUFO	UFO戰鬥熱氣球	Battle UFO	배틀 벌룬 UFO
フレイムドラゴンライダー	火龍騎士	Flame Dragon Rider	플레임 드래곤 라이더
サイバープリティキャット	虛擬萌貓女	Cyber Pretty Cat	사이버 프리티 캣
時空のサイクロプス	時空獨眼藍胖	4D Cyclops	시공의 사이클롭스
ボルケーノゴーレム	火山巨魔像	Volcano Golem	볼케이노 골렘
にゃんこ囚人	囚犯貓	Prisoner Cat	냥코 죄수
ネコ紳士同盟	紳士貓同盟	Gentleman Bros.	고양이 신사 동맹
断罪天使クオリネル	斷罪天使海蝶	Cruel Angel Clionel	단죄천사 쿠오리넬
ニャラジン	神燈貓	Nyalladin	냥라진
サホリ	摔角女貓	Wrestling Cat	장미냥
ドリュウ	鼴小龍	Mr. Mole	두더더지
ハリケーンサイクロン	颶風旋風	The Perfect Cyclone	허리케인 사이클론
大狂乱のネコモヒカン	大狂亂摩西根貓	Manic Mohawk Cat	대광란의 고양이 모히칸
大狂乱のゴムネコ	大狂亂橡皮貓	Manic Eraser Cat	대광란의 고무 고양이
大狂乱の暗黒ネコ	大狂亂暗黑貓	Manic Dark Cat	대광란의 암흑 고양이
大狂乱のムキあしネコ	大狂亂筋肉美腿貓	Manic Macho Legs	대광란의 불끈다리 고양이
大狂乱のネコライオン	大狂亂獅子貓	Manic Lion Cat	대광란의 고양이 라이온
大狂乱の天空のネコ	大狂亂天空之貓	Manic Flying Cat	대광란의 천공의 고양이
大狂乱のネコ島	大狂亂島貓	Manic Island Cat	대광란의 고양이 섬
大狂乱のネコキングドラゴン	大狂亂龍王貓	Manic King Dragon	대광란의 고양이 킹드래곤
大狂乱のネコジャラミ	大狂亂賈拉米貓	Manic Jamiera Cat	대광란의 고양이 쟈라미
キスヨリ・ス・ゴイ	超越熱吻之戀	Kiss and Koi	바람 만난 고양이
マダム・ザ・サバンナ	大草原太太	Madam the Savannah	마담・더・사반나
コールセンターのＯＬ	總機的ＯＬ	Call Center Cat	콜센터 레이디
ミスターエンジェル	天使先生	Mr. Angel	미스터 엔젤
キョセーヌ	大嘴武哥	Two Can	왕부리 새
タッちゃん	必殺達也	Tackey	블랙 해마
チワワン伯爵	吉娃娃伯爵	King Wahwah	치와와 백작
わんこずきんミーニャ	狗仔紅帽咪娜	Codename "Red Riding"	멍뭉이 냥미
タクヤとビューティユキ	拓也與美腿小雪	Takuya & Lovely Yuki	타쿠야와 뷰티 유키
凧にゃん	風箏貓	Kite Cat	연날리기 냥코
イノエンジェル	天使野豬	Boraphim	엔젤 보어
やぐらわんこ	太鼓狗仔	Ritual Drum Doge	축제 큰북 멍뭉이
ぼったくラッコ	坑錢一族	Festive Otter	바가지꾼 두드리
剛拳にゃんこG	剛拳貓Ｇ	Iron Claw X	강권 냥코G
ヒカル	小光	Henry	초롱아귀
般若我王	般若我王	Hannya	반야아왕
ネコ棒倒し	倒棒貓	Rampage Cats	고양이 봉
森の蜜子	森蜜子	Queen B	여왕벌
ちびぶんぶん	小噴噴	Li'l Bun Bun	꼬마 맴매
薔薇園の魔女	玫瑰園魔女	The Rose Garden Witch	장미원의 마녀
お菓子の魔女・執着	零食的魔女・執著	Dessert Witch - Obsession	과자의 마녀・집착
お菓子の魔女	零食的魔女	Dessert Witch	과자의 마녀
ハコの魔女とその手下	箱的魔女和手下	Box Witch and Minions	박스의 마녀와 수하들
ワルプルギスの夜	魔女之夜	Walpurgisnacht	발푸르기스의 밤
キュゥべえ	丘比	Kyuubei	큐베
ネコ火祭り	火舞貓	Ritual Cat	고양이 분노
イノワール	黑暗野豬	Razorback	와일드 보어
文化祭のカンバン娘	文化祭看板小妹	Festival Sign Girl	축제 간판 아가씨
売り子エル	促銷妹小雞	Vendor El	꼬꼬
ゾンビワン	不死狗仔	Zoge	좀비 멍뭉이
にょろろん	不死扭扭蛇	Znache	좀비 낼름이
カバタリアン	不死河馬將	Zomboe	좀비 하마양
トンシー	不死豬野郎	Zigge	돈비
ジャッキー・ペンZ	不死企鵝大哥Z	Zackie Peng	재키 펭Z
ゴリ・ンジュ	不死大猩猩	Zory	고릴라쥬
ブチゴマさま	不死斑海豹桑	Zir Zeal	좀・비레오파드
スカルボクサー	不死袋拳	Zang Roo	스컬 복서
ワニボン	不死鱷魚	Zroco	좀비 아거
墓手太郎	墓手太郎	Lord Gravey	좀비석
アンデッドサイクロン	不死旋風	Zyclone	언데드 사이클론
フィッシュ・ド・ノエル	聖誕樹幹蛋糕貓	Xmas Pudding Cat	피쉬・더・노엘
メガにゃんこEX	歌后貓EX	Mega Cat EX	메가 냥코 EX
墓手花子	墓手花子	Miss Haka	묘비석
オオさん	不死大鯢	Big Sal	아좀씨
パオンモス	澎湃猛獁	Le'mammoth	맘모아이스
アイスわんこ	冰牆狗仔	Ice Doge	아이스 멍뭉이
雪玉	雪球	Snowball	눈덩이
ヒツギイヌ	棺材狗	Coffin Zoge	좀비관
キャベロン	凹凸駝背	Zamelle	좀비 낙타
殺意のネコ	殺意貓	Killer Cat	살의의 고양이
犬武者 武蔵	犬武者 武藏	Inumusha	멍뭉무사 무사시
亡者デブウ	亡者肥普	Daboo of the Dead	죽은 뚱땡이
イルカ娘	海豚姑娘	Dolphina	돌고래양
ちびネコモヒカン	小小摩西根貓	Li'l Mohawk Cat	꼬맹이 고양이 모히칸
ちびゴムネコ	小小橡皮貓	Li'l Eraser Cat	꼬맹이 고무 고양이
ちび暗黒ネコ	小小暗黑貓	Li'l Dark Cat	꼬맹이 암흑 고양이
ちびムキあしネコ	小小筋肉美腿貓	Li'l Macho Legs Cat	꼬맹이 불끈다리 고양이
ちびネコライオン	小小獅子貓	Li'l Lion Cat	꼬맹이 고양이 라이온
天空のちびネコ	小小天空之貓	Li'l Flying Cat	꼬맹이 천공의 고양이
ちびネコ島	小小島貓	Li'l Island Cat	꼬맹이 고양이 섬
ちびネコキングドラゴン	小小龍王貓	Li'l King Dragon Cat	꼬맹이 고양이 킹드래곤
ちびネコジャラミ	小小賈拉米貓	Li'l Jamiera Cat	꼬맹이 고양이 쟈라미
イースタールンルン	復活節大鴨	Easter Duche	이스타 룬룬
イースターウサ銀	復活節臭老兔	Easter B.B.Bunny	이스타 엘리트 래빗
ゴールデンわんこ	黃金狗仔	Golden Doge	골든 멍뭉이
金カバちゃん	金河馬將	Gold Hippoe	골든 하마양
純金倶楽部	鴕鳥愛黃金	Pure Gold R.Ost	골드 타조
失われし世界のユキ	失去世界的小雪	Lost World Yuki	잃어버린 세계의 유키
イカ天	炸烏賊天使	Cala Maria	오징어튀김
なめ（赤）	紅色鼻涕蟲	Red Slug	미끌이 (빨강)
なめ（黒）	黑色鼻涕蟲	Black Slug	미끌이 (검정)
なめ（天使）	天使鼻涕蟲	Angelic Slug	미끌이 (천사)
にゃんこカートP	貓咪賽車G	Cat Kart P	냥코 카트P
ネコンドーSP	跆拳貓ＳＰ	Catkwondo SP	태권도 냥코 SP
にゃんことメルク	貓咪與梅露可	Merc & Cat	냥코와 메르크
ネコティティ	貓咪推推	Titi Cat	고양이 티티
オルトス	奧爾托斯	Orthos	오르토스
ミシェリア	米希利亞	Michelia	미세리아
とどめき	留姬	Todomeki	토도메키
ネコ仙人	貓咪仙人	Hermit Cat	고양이 신선
ケロ助	蛙助	Croakley	케로롱
ガリゴリくん	書呆子大猩猩	Gary Gory	고3릴라
にゃんこバーガーセット		Value Meal Cat	
メタルにょろ	鋼鐵扭扭蛇	Metal Snache	메탈 낼름이
はぐれケモルル	離群樹懶賴	THE METAL SLOTH	메탈 늘보보
エリートエイリワン	精英汪仔星人	Shibalien Elite	엘리트 에이리뭉
スター・ペン	宙星・企鵝大哥	Star Peng	스타 펭
グレゴリー将軍	宙猩將軍	General GreGory	고릴 장군
ハハパオン	澎湃媽	Le'Solar	하하빠옹
巨匠	巨匠	Project A	거장
キャプテン・モグー	鼴鼠隊長	Corporal Weyland	캡틴 두더더지
スペースマンボルグ	宙星生化魚	Spacefish Jones	스페이스 개복치
神さま	神	The Cat God	신
大夢くん	大夢君	Youcan	대몽이
スーパースペースサイクロン	超級異星旋風	Super Cosmic Cyclone	슈퍼 스페이스 사이클론
天使ブッタ	飛天小豬	Winged Pigge	천사 부타
謎仮面のウララー	神秘假面烏拉拉	Mystic Mask Yulala	수수께끼의 가면 우라라
ヒウマ	火馬	Hackey	레드 해마
ウルトラメェメェ	激動咩咩	UltraBaaBaa	울트라 메에메에
合格野郎	及格野郎	Pigge Victorious	합격돼지
だっふんと機関銃	臘腸狗與機關槍	Bang-Bang	핫도그와 기관총
第４の使徒	第4使徒	The 4th Angel	제4사도
第６の使徒	第6使徒	The 6th Angel	제6사도
第９の使徒	第9使徒	The 9th Angel	제9사도
第１０の使徒	第10使徒	The 10th Angel	제10사도
狂乱のもねこ	狂亂萌貓	Crazed Moneko	광란의 귀여미
狂乱のスターもねこ	狂亂偶像萌貓	Corrupted Moneko	광란의 스타 귀여미
ペンライトなヤツ	螢光棒幫	Glowstick Guys	야광봉 놈놈놈
レジェンドブンブンΩ	傳奇噴噴Ω	Mecha-Bun	레전드 맴매Ω
真レジェンドブンブン	真傳奇噴噴	Relic Bun-Bun	신 레전드 맴매
古代わんこ	古代狗仔	Relic Doge	고대 멍뭉이
狂乱のユキ	狂亂的小雪	Crazed Yuki	광란의 유키
ゴリ男氏	猩好男人	Gorilliam	고릴남씨
イングリッス	古代松鼠	Sir Rel	잉글릭스
コライノくん	古代犀聖	Oldhorn	고대 보어
超町長	古代蠶舌蛾	Othom	난나나난이장
ナミエちゃん	奈美黑	Selena	클라라
マナブくん	快豚星人	Kid Tappa	배움군
ゲコック	食蛙星人	Ribbo	개구링
神さま（本気）	神（認真）	Cat God	신 (진심)
ダテメガネル	古代眼鏡猴人	Loris	선글래숭이
大天使エルファント	大天使俄勒方特	Heavenly Le'saint	대천사 엘리펀트
レッドヘルクマッチョ	紅獄肌熊	The Red Malice	레드 헬크 마쵸
古我王	古頭王	Lowkey	미남왕
オールドリー	鴕鳥老黛麗	M. Ost	올드 타조
ダッシュ死太郎	跑到死太郎	Dead Donny Dash	대시 타로
パワハラッコ部長	職權騷擾一族部長	CTO Seal	갑질 부장
クマンケン	科熊怪人	Cadaver Bear	프랑켄슈타인 베어
シノシシ	玉米鬚豬	Dread Bore	레게 보어
くるみ割りの魔女	胡桃鉗魔女	Nutcracker Witch	호두 까기 마녀
サタンクロース	宇宙聖誕老人	Satan Claus	사탄클로스
ユメミちゃん	愛作夢的貘	Bakoo	꿈꾸는 맥
獅子姉妹	獅子姐妹	Sister Lione	사자 자매
幸福の犬	招福卷狗	Lucky Dags	행복 도그
エンシェントサイクロン	古代旋風	Primeval Cyclone	고대 사이클론
ちびイノシャシ	小獅豬	Li'l Bore	꼬마 보어
レインボークマトーク	彩虹熊熊敢死隊	Bears Be Back	무지개 곰 다섯마리
マドンナ先生	清純女老師	Ms. Madonna	마돈나 선생님
ミニスターサイクロン	邪星小旋風	Mesocosmocyclone	미니스타 사이클론
チンアナ５兄弟	花園鰻5兄弟	Gardeneel Bros.	붕장어 5형제
ルーパールーパー	六角龍邪	Axoloty	루퍼좀씨
ファイナルギガグランド神さま	終極千兆宏偉神	Final Boss Giga-God	파이널 기가 그랜드 신
スターフィリバスター	議事阻撓邪星貓	Filibuster Obstructa	스타 필리버스터
柏餅2.0	柏餅2.0	Haterbaa 2.0	망개떡 2.0
土偶戦士ドグ丸	土偶喵丸	Dogumaru	토우전사 도그마루
スーパーデビル			
サタンマリア			
ワンダーマリア			
魔肖ネロ			
ヘッドロココ			
グミネコ	軟糖貓	Gummy Cat	젤리 고양이
カノとソウマ	佳乃與蒼真	Kano ＆ Souma	카노와 소우마
エヴァ第１３号機 疑似シン化	EVA第13號機 疑似進化	Unit-13's False Evolution	에바 13호기 유사신화
チキランラン	不死小雞	Zuche	치킨랄라
スリラーズ	驚悚幫	The Thrillerz	스릴러즈
フグ太くん	河潤豚	Mr. Puffington	복어양
ちびケーキわんこ	小蛋糕狗仔	Li'l Cake Doge	꼬마 케이크 멍뭉이
超新星テッサー	超新星鐵砲	Puffsley's Comet	초신성 텟사
リュウ	隆	Ryu	류
春麗	春麗	Chun-Li	춘리
ガイル	蓋爾	Guile	가일
ザンギエフ	桑吉爾夫	Zangief	장기에프
ブランカ	布蘭卡	Blanka	블랑카
ダルシム	塔爾錫	Dhalsim	달심
ケン	肯	Ken	켄
豪鬼	豪鬼	Akuma	고우키
阿亀我王	阿龜我王	Black Okame	오카메왕
聖者ポプウ	聖者波普	Heavenly Herald Papuu	성자 뚱땡이
太古の蜜江	太古蜜江	Queen Mother V	태고의 왕비
かわわっぱJr.	妖怪河童Jr.	Kappy Jr.	가아아파Jr.
フェンリルとウルス	巨狼與烏爾斯	Urs & Fenrir	펜리르와 우르스
ワーニネーター	鋼鐵終結鱷	Croconator	메탈 아거
タッキー	毒火雞	Gobble	터키
ヒュージゴマ	巨大斑海豹桑	Baron Seal	거대 바・다레오파드
綺羅星ペロ	綺羅星汪汪	Everlord Wanwan	기라성 페로
メシエ	梅西耶	Messier	메시에
ジャイアント黒蔵	巨象黑藏	Le'Grim	자이언트 블랙 빠옹
死霊妖精クオリネム	死靈妖精海蝶	Death Angel Z-Onel	사령요정 쿠오리넴
ミニアンデッドサイクロン	迷你不死旋風	Li'l Zyclone	미니 언데드 사이클론
天使ドーヴエル	天使多維爾	St. Dober	천사 도베르
ドレミちゃん	愛假哭的貘	Doremi	도레미양
ギガガガ	巨蛾蛾蛾	Mega-Mooth	슈퍼 나나나난나방
達人ウリル	達人烏嚕哩	Master Uril	달인 우리르
メタルコアラッキョ	鋼鐵無尾熊球	Koronium	메탈 코알락교
スーパーゼウス			
シャーマンカーン			
完璧ヘラクライスト			
ジョン・レオン	約翰藍龍	Johnnyleon	존 레온
デッカーバチャン	巨大河馬星人	Super Hyppoh	빅 하앜마양
イディ:Re	異弟:Re	Idi:Re	이디:Re
テバムラサキホネツバメ	紫骨不死燕	Zollow	좀비 제비
エドモンド本田	E. HONDA	E. Honda	E. Honda
バイソン	拜森	Balrog	바이슨
バルログ	巴洛克	Vega	발로그
サガット	沙卡特	Sagat	사가트
ベガ	貝卡	M. Bison	베가
悪のネコ帝王	惡之貓帝王	Evil Emperor Cat	악의 고양이 제왕
ウリボーイ	飛機頭豬	Bore Jr.	보이 보어
チョコわんこ	巧克力狗仔	Chocolate Doge	초코 멍뭉이
ごん兵衛	狐兵衛	Raynard	폭시
マーさん	魚尾石	Mr. Mer	Mr.머
ネコウエハースBIG	威化餅貓BIG	Wafer Cat XL	고양이 웨하스 BIG
怒りのブラッゴリ	憤怒的黑猩猩	Ragin' Gory	분노의 블랙 고릴라저씨
古神炎ドロン	古神炎多龍	Elder Flame Doron	고대 화염신 드론
デビルワン	惡魔狗仔哥	Aku Doge	데빌 멍뭉이
インフェルにょろ	惡魔扭扭蛇	Sinner Snache	인페르 낼름이
ケルベローズ	惡魔三兄弟	Cerberus Kids	케르베로즈
ギルティ・ペン	惡魔企鵝大哥	Condemned Peng	길티 펭
ヘルゴリラー	惡魔大猩猩	Aku Gory	고릴아쿠마
悪魔ベヒモッス	惡魔澎湃	Le'Behemoth	악마 베헤모스
アックマ閣下	惡魔熊熊閣下	Fallen Bear	악마 각하
魔我王	魔我王	Wicked Face	마아왕
デビルサイクロン	惡魔大旋風	Aku Cyclone	데빌 사이클론
邪悪なネコ	邪惡貓咪	Wicked Cat	사악한 고양이
邪悪なタンクネコ	邪惡坦克貓	Wicked Tank Cat	사악한 탱크 고양이
邪悪なバトルネコ	邪惡戰鬥貓	Wicked Axe Cat	사악한 배틀 고양이
神官マモーン	神官瑪魔	Dark Priest Mamon	신관 마몬
大神官マモーン	大神官瑪魔	High Priest Mamon	대신관 마몬
