rank	message	reward_id	reward_count
3600	解放「激稀有」的「狂亂角色」等級上限<br>※可升至25級※<br><span class="fs76">※以XP升級※</span>		
3650	解放「激稀有」的「狂亂角色」等級上限<br>※可升至30級※<br><span class="fs76">※以XP升級※</span>		
3700	獲得3個寶物雷達	1	3
3750	獲得3個彩虹貓薄荷	40	3
3800	獲得3個貓眼石【EX】	50	3
3850	獲得3個貓眼石【稀有】	51	3
3900	獲得3個貓眼石【激稀有】	52	3
3950	獲得3個貓眼石【超激稀有】	53	3
4000	獲得1張稀有券	21	1
4050	解放「稀有角色」的附加等級上限<br>※可附加至＋60※<br><span class="fs76">※以轉蛋升級※</span>		
4100	解放「激稀有角色」的附加等級上限<br>※可附加至＋50※<br><span class="fs76">※以轉蛋升級※</span>		
4150	解放「超激稀有角色」的附加等級上限<br>※可附加至＋50※<br><span class="fs76">※以轉蛋升級※</span>		
4200	解放「基本角色」的附加等級上限<br>※可附加至＋55※<br><span class="fs76">※以轉蛋升級※</span>		
4250	解放「基本角色」的附加等級上限<br>※可附加至＋60※<br><span class="fs76">※以轉蛋升級※</span>		
4300	獲得3個彩虹貓薄荷	40	3
4350	獲得3個貓眼石【EX】	50	3
4400	獲得3個貓眼石【稀有】	51	3
4450	獲得3個貓眼石【激稀有】	52	3
4500	獲得3個貓眼石【超激稀有】	53	3
4550	獲得1張稀有券	21	1
4600	解放「稀有角色」的附加等級上限<br>※可附加至＋70※<br><span class="fs76">※以轉蛋升級※</span>		
4650	解放「激稀有角色」的附加等級上限<br>※可附加至＋60※<br><span class="fs76">※以轉蛋升級※</span>		
4700	解放「超激稀有角色」的附加等級上限<br>※可附加至＋60※<br><span class="fs76">※以轉蛋升級※</span>		
4750	獲得5個綠色貓薄荷	38	5
4800	獲得5個紫色貓薄荷	35	5
4850	獲得5個紅色貓薄荷	36	5
4900	獲得5個藍色貓薄荷	37	5
4950	獲得5個黃色貓薄荷	39	5
5000	獲得5個彩虹貓薄荷	40	5
5050	解放「基本角色」的附加等級上限<br>※可附加至＋65※<br><span class="fs76">※以轉蛋升級※</span>		
5100	解放「基本角色」的附加等級上限<br>※可附加至＋70※<br><span class="fs76">※以轉蛋升級※</span>		
5150	獲得1張稀有券	21	1
5200	獲得5個貓眼石【EX】	50	5
5250	獲得5個貓眼石【稀有】	51	5
5300	獲得5個貓眼石【激稀有】	52	5
5350	獲得5個貓眼石【超激稀有】	53	5
5400	獲得3個寶物雷達	1	3
5450	獲得5個綠色貓薄荷	38	5
5500	獲得5個紫色貓薄荷	35	5
5550	獲得5個紅色貓薄荷	36	5
5600	獲得5個藍色貓薄荷	37	5
5650	獲得5個黃色貓薄荷	39	5
5700	獲得5個彩虹貓薄荷	40	5
5750	解放「基本角色」的附加等級上限<br>※可附加至＋75※<br><span class="fs76">※以轉蛋升級※</span>		
5800	解放「基本角色」的附加等級上限<br>※可附加至＋80※<br><span class="fs76">※以轉蛋升級※</span>		
5850	解放「稀有角色」的附加等級上限<br>※可附加至＋80※<br><span class="fs76">※以轉蛋升級※</span>		
5900	解放「激稀有角色」的附加等級上限<br>※可附加至＋70※<br><span class="fs76">※以轉蛋升級※</span>		
5950	解放「超激稀有角色」的附加等級上限<br>※可附加至＋70※<br><span class="fs76">※以轉蛋升級※</span>		
6000	獲得1張稀有券	21	1
6100	獲得5個貓眼石【EX】	50	5
6200	獲得5個貓眼石【稀有】	51	5
6300	獲得5個貓眼石【激稀有】	52	5
6400	獲得5個貓眼石【超激稀有】	53	5
6500	獲得5個彩虹貓薄荷	40	5
6600	獲得5個喵力達A	55	5
6700	獲得5個喵力達B	56	5
6800	獲得5個喵力達C	57	5
6900	獲得5個綠色貓薄荷	38	5
7000	獲得1張稀有券	21	1
7100	獲得5個紫色貓薄荷	35	5
7200	獲得5個紅色貓薄荷	36	5
7300	獲得5個藍色貓薄荷	37	5
7400	獲得5個黃色貓薄荷	39	5
7500	獲得5個彩虹貓薄荷	40	5
7600	獲得5個貓眼石【EX】	50	5
7700	獲得5個貓眼石【稀有】	51	5
7777	獲得7張稀有券	21	7
7800	獲得5個貓眼石【激稀有】	52	5
7900	獲得5個貓眼石【超激稀有】	53	5
8000	獲得1張稀有券	21	1
8100	獲得5個喵力達A	55	5
8200	獲得5個喵力達B	56	5
8300	獲得5個喵力達C	57	5
8400	獲得5個綠色貓薄荷	38	5
8500	獲得5個彩虹貓薄荷	40	5
8600	獲得5個紫色貓薄荷	35	5
8700	獲得5個紅色貓薄荷	36	5
8800	獲得5個藍色貓薄荷	37	5
8900	獲得5個黃色貓薄荷	39	5
9000	獲得1張稀有券	21	1
9100	獲得5個貓眼石【EX】	50	5
9200	獲得5個貓眼石【稀有】	51	5
9300	獲得5個貓眼石【激稀有】	52	5
9400	獲得5個貓眼石【超激稀有】	53	5
9500	獲得5個彩虹貓薄荷	40	5
9600	獲得5個貓眼石【EX】	50	5
9700	獲得5個貓眼石【稀有】	51	5
9800	獲得5個貓眼石【激稀有】	52	5
9900	獲得5個貓眼石【超激稀有】	53	5
9999	解放「基本角色」的附加等級上限<br>最高可附加至＋90<br><span class="fs76">※以轉蛋升級※</span>		
10000	獲得1張白金券	29	1
10001	解放「基本角色（貓咪超人）」的附加等級上限<br>最高可附加至＋30<br><span class="fs76">※以轉蛋升級※</span>		
10100	獲得5個喵力達A	55	5
10200	獲得5個喵力達B	56	5
10300	獲得5個喵力達C	57	5
10400	獲得5個綠色貓薄荷	38	5
10500	獲得1個古代貓薄荷	42	1
10600	獲得5個紫色貓薄荷	35	5
10700	獲得5個紅色貓薄荷	36	5
10800	獲得5個藍色貓薄荷	37	5
10900	獲得5個黃色貓薄荷	39	5
11000	獲得1張稀有券	21	1
11001	解放「基本角色（貓咪超人）」的附加等級上限<br>最高可附加至＋40<br><span class="fs76">※以轉蛋升級※</span>		
11100	獲得5個貓眼石【EX】	50	5
11200	獲得5個貓眼石【稀有】	51	5
11300	獲得5個貓眼石【激稀有】	52	5
11400	獲得5個貓眼石【超激稀有】	53	5
11500	獲得1個古代貓薄荷	42	1
11600	獲得5個喵力達A	55	5
11700	獲得5個喵力達B	56	5
11800	獲得5個喵力達C	57	5
11900	獲得5個綠色貓薄荷	38	5
12000	獲得1張稀有券	21	1
12001	解放「基本角色（貓咪超人）」的附加等級上限<br>最高可附加至＋50<br><span class="fs76">※以轉蛋升級※</span>		
12100	獲得5個紫色貓薄荷	35	5
12200	獲得5個紅色貓薄荷	36	5
12300	獲得5個藍色貓薄荷	37	5
12400	獲得5個黃色貓薄荷	39	5
12500	獲得1個古代貓薄荷	42	1
12600	獲得10個紅磚	85	10
12700	獲得10個羽毛	86	10
12800	獲得10個備長炭	87	10
12900	獲得10個鋼製齒輪	88	10
13000	獲得1張稀有券	21	1
13001	解放「基本角色（貓咪超人）」的附加等級上限<br>最高可附加至＋60<br><span class="fs76">※以轉蛋升級※</span>		
13100	獲得10個黃金	89	10
13200	獲得10個宇宙石	90	10
13300	獲得10個神祕骨頭	91	10
13400	獲得10個菊石	140	10
13500	獲得2個古代貓薄荷	42	2
13600	獲得5個貓眼石【EX】	50	5
13700	獲得5個貓眼石【稀有】	51	5
13800	獲得5個貓眼石【激稀有】	52	5
13900	獲得5個貓眼石【超激稀有】	53	5
14000	獲得1張稀有券	21	1
14001	解放「基本角色（貓咪超人）」的附加等級上限<br>最高可附加至＋70<br><span class="fs76">※以轉蛋升級※</span>		
14100	獲得20個紅磚	85	20
14200	獲得20個羽毛	86	20
14300	獲得20個備長炭	87	20
14400	獲得20個鋼製齒輪	88	20
14500	獲得2個古代貓薄荷	42	2
14600	獲得20個黃金	89	20
14700	獲得20個宇宙石	90	20
14800	獲得20個神祕骨頭	91	20
14900	獲得20個菊石	140	20
15000	獲得1張白金券	29	1
15001	解放「基本角色（貓咪超人）」的附加等級上限<br>最高可附加至＋80<br><span class="fs76">※以轉蛋升級※</span>		
15100	獲得1個白金券碎片	157	1
15200	獲得50個貓罐頭	22	50
15300	獲得1個首領旗	105	1
15400	獲得3個貓眼石【傳說】	54	3
15500	獲得2個古代貓薄荷	42	2
15600	獲得5個喵力達A	55	5
15700	獲得5個喵力達B	56	5
15800	獲得5個喵力達C	57	5
15900	獲得50個貓罐頭	22	50
16000	獲得1張稀有券	21	1
16001	解放「基本角色（貓咪超人）」的附加等級上限<br>最高可附加至＋90<br><span class="fs76">※以轉蛋升級※</span>		
16100	獲得1個白金券碎片	157	1
16200	獲得5個喵力達A	55	5
16300	獲得5個喵力達B	56	5
16400	獲得5個喵力達C	57	5
16500	獲得3個貓眼石【傳說】	54	3
16600	獲得5個貓眼石【EX】	50	5
16700	獲得5個貓眼石【稀有】	51	5
16800	獲得5個貓眼石【激稀有】	52	5
16900	獲得5個貓眼石【超激稀有】	53	5
17000	獲得1張稀有券	21	1
17100	獲得1個白金券碎片	157	1
17200	獲得5個喵力達A	55	5
17300	獲得5個喵力達B	56	5
17400	獲得5個喵力達C	57	5
17500	獲得5個貓眼石【傳說】	54	5
17600	獲得5個貓眼石【EX】	50	5
17700	獲得5個貓眼石【稀有】	51	5
17800	獲得5個貓眼石【激稀有】	52	5
17900	獲得5個貓眼石【超激稀有】	53	5
18000	獲得1張稀有券	21	1
18100	獲得1個白金券碎片	157	1
18200	獲得5個喵力達A	55	5
18300	獲得5個喵力達B	56	5
18400	獲得5個喵力達C	57	5
18500	獲得5個貓眼石【傳說】	54	5
18600	獲得5個貓眼石【EX】	50	5
18700	獲得5個貓眼石【稀有】	51	5
18800	獲得5個貓眼石【激稀有】	52	5
18900	獲得5個貓眼石【超激稀有】	53	5
19000	獲得1張稀有券	21	1
19100	獲得1個白金券碎片	157	1
19200	獲得5個喵力達A	55	5
19300	獲得5個喵力達B	56	5
19400	獲得5個喵力達C	57	5
19500	獲得5個貓眼石【傳說】	54	5
19600	獲得5個貓眼石【EX】	50	5
19700	獲得5個貓眼石【稀有】	51	5
19800	獲得5個貓眼石【激稀有】	52	5
19900	獲得5個貓眼石【超激稀有】	53	5
20000	獲得1張白金券	29	1
20001	獲得3個貓眼石【闇】	58	3
20100	獲得1個白金券碎片	157	1
20200	獲得3個紅磚Z	187	3
20300	獲得3個羽毛Z	188	3
20400	獲得3個備長炭Z	189	3
20500	獲得3個鋼製齒輪Z	190	3
20600	獲得3個黃金Z	191	3
20700	獲得3個宇宙石Z	192	3
20800	獲得3個神秘骨頭Z	193	3
20900	獲得3個菊石Z	194	3
21000	獲得1張稀有券	21	1
21100	獲得1個白金券碎片	157	1
21200	獲得5個喵力達A	55	5
21300	獲得5個喵力達B	56	5
21400	獲得5個喵力達C	57	5
21500	獲得10個貓型電腦	3	10
21600	獲得3個紅磚Z	187	3
21700	獲得3個羽毛Z	188	3
21800	獲得3個備長炭Z	189	3
21900	獲得3個鋼製齒輪Z	190	3
22000	獲得1張稀有券	21	1
22100	獲得1個白金券碎片	157	1
22200	獲得3個黃金Z	191	3
22300	獲得3個宇宙石Z	192	3
22400	獲得3個神秘骨頭Z	193	3
22500	獲得3個菊石Z	194	3
22600	獲得5個喵力達A	55	5
22700	獲得5個喵力達B	56	5
22800	獲得5個喵力達C	57	5
22900	獲得10個貓型電腦	3	10
23000	獲得1張稀有券	21	1
23100	獲得1個白金券碎片	157	1
23200	獲得5個貓眼石【傳說】	54	5
23300	獲得5個貓眼石【EX】	50	5
23400	獲得5個貓眼石【稀有】	51	5
23500	獲得5個貓眼石【激稀有】	52	5
23600	獲得5個貓眼石【超激稀有】	53	5
23700	獲得3個紅磚Z	187	3
23800	獲得3個羽毛Z	188	3
23900	獲得3個備長炭Z	189	3
24000	獲得1張稀有券	21	1
24100	獲得1個白金券碎片	157	1
24200	獲得3個鋼製齒輪Z	190	3
24300	獲得3個黃金Z	191	3
24400	獲得3個宇宙石Z	192	3
24500	獲得3個神秘骨頭Z	193	3
24600	獲得3個菊石Z	194	3
24700	獲得5個喵力達A	55	5
24800	獲得5個喵力達B	56	5
24900	獲得5個喵力達C	57	5
25000	獲得1張傳說券	145	1
25100	獲得5個貓眼石【EX】	50	5
25200	獲得5個貓眼石【稀有】	51	5
25300	獲得5個貓眼石【激稀有】	52	5
25400	獲得5個貓眼石【超激稀有】	53	5
25500	獲得5個貓眼石【傳說】	54	5
25600	獲得5個貓眼石【EX】	50	5
25700	獲得5個貓眼石【稀有】	51	5
25800	獲得5個貓眼石【激稀有】	52	5
30000	獲得1張傳說券	145	1
