jp	tw	en	kr
古代マタタビ	古代貓薄荷	Elder Catfruit	고대 개다래 열매
悪マタタビ	惡貓薄荷	Aku Catfruit	악마 개다래 열매
虹マタタビ 	彩虹貓薄荷	Epic Catfruit	무지개 개다래 열매
金マタタビ	黃金貓薄荷	Gold Catfruit	황금 개다래 열매
紫獣石	紫獸石	Purple Behemoth Stone	자수석
紅獣石	紅獸石	Red Behemoth Stone	홍수석
蒼獣石	藍獸石	Blue Behemoth Stone	청수석
緑獣石	綠獸石	Green Behemoth Stone	녹수석
黄獣石	黃獸石	Yellow Behemoth Stone	황수석
虹獣石	彩虹獸石	Epic Behemoth Stone	무지개 수석
紫獣結晶	紫獸結晶	Purple Behemoth Gem	자수석 결정
紅獣結晶	紅獸結晶	Red Behemoth Gem	홍수석 결정
蒼獣結晶	藍獸結晶	Blue Behemoth Gem	청수석 결정
翠獣結晶	綠獸結晶	Green Behemoth Gem	녹수석 결정
黄獣結晶	黃獸結晶	Yellow Behemoth Gem	황수석 결정
にゃんこチケット	貓咪券	Cat Ticket	냥코 티켓
レアチケット	稀有券	Rare Cat Ticket	레어 티켓
プラチナチケット	白金券	Platinum Ticket	플래티넘 티켓
プラチナのかけら	白金券碎片	Platinum Shards	플래티넘 조각
レジェンドチケット	傳說券	Legend Ticket	레전드 티켓
福引チケット	招福轉蛋券	Lucky Ticket	럭키 티켓
福引チケットG 	招福轉蛋G券	Lucky Ticket G	G 티켓
伝説の虫取り網	傳說的捕蟲網	Legend Net	전설의 벌레 채집망
伝説のラブレター	傳說的情書	Love Letter	전설의 러브레터
伝説の聖水	傳說的聖水	Holy Water	전설의 성수
伝説の縁起物	傳說的金元寶	Legendary Charm	전설의 복주머니
伝説の罠	傳說的陷阱	Legend Trap	전설의 트랩
はてなボックス	神秘箱子	Mystery Box	물음표 박스
ビックリマンチョコ	聖魔大戰巧克力	Bikkuriman Choco	빅쿠리맨 초코
レ	ン	ガ	 	,	 	紅	磚	,	 	B	r	i	c	k	s	,	 	벽	돌
羽	根	,	 	羽	毛	,	 	F	e	a	t	h	e	r	s	,	 	깃	털
備	長	炭	,	 	備	長	炭	,	 	C	o	a	l	,	 	참	숯
鋼	の	歯	車	,	 	鋼	製	齒	輪	,	 	S	p	r	o	c	k	e	t	s	,	 	철	 	톱	니	바	퀴
黄	金	,	 	黃	金	,	 	G	o	l	d	,	 	황	금
宇	宙	石	,	 	宇	宙	石	,	 	M	e	t	e	o	r	i	t	e	,	 	우	주	석
謎	の	骨	 	,	 	神	秘	骨	頭	,	 	B	e	a	s	t	 	B	o	n	e	s	,	 	수	수	께	끼	의	 	뼈
アンモナイト	菊石	Ammonite	암모나이트
レンガ Z	紅磚Z	Bricks Z	벽돌Z
羽根Z	羽毛Z	Feathers Z	깃털Z
備長炭Z	備長炭Z	Coal Z	참숯Z
鋼の歯車Z	鋼製齒輪Z	Sprockets Z	철 톱니바퀴Z
黄金Z	黃金Z	Gold Z	황금Z
宇宙石Z	宇宙石Z	Meteorite Z	우주석Z
謎の骨 Z	神秘骨頭Z	Beast Bones Z	수수께끼의 뼈Z
アンモナイトZ	菊石Z	Ammonite Z	암모나이트Z
属性を持たない敵	無屬性敵人	Traitless Enemies	무속성
赤い敵	紅色敵人	Red Enemies	빨간 적
浮いてる敵	飄浮敵人	Floating Enemies	떠있는 적
黒い敵	黑色敵人	Dark Enemies	검은 적
メタルな敵	鋼鐵敵人	Metal	메탈
天使	天使	Angels	천사
エイリアン	異星戰士	Aliens	에이리언
ゾンビ	不死生物	Zombies	좀비
悪魔	惡魔	Aku	악마
古代種	古代種	Relics	고대종
使徒	使徒	Eva Angels	사도
魔女	魔女	Witches	마녀
超生命体	超生命體	Colossus	초생명체
超獣	超獸	Behemoth	초수
超賢者	超賢者	Sage	초현자
單体攻擊	單體攻擊	Single Attack	개체 공격
範囲攻擊	範圍攻擊	Area Attack	범위 공격
連続攻撃	連續攻擊	Multi-Hit	연속 공격
遠方攻撃	遠距攻擊	Long Distance	원거리 공격
全方位攻撃	全方位攻擊	Omni Strike	전방위 공격
1回攻撃	一次攻擊	Attack Once	1회 공격
攻撃力ダウン	攻擊力下降	Weaken	공격력 다운
動きを止める	使動作停止	Freeze	움직임을 멈춘다
動きを遅くする	使動作變慢	Slow	움직임을 느리게 한다
攻撃ターゲット限定	只能攻擊	Attacks Only	공격 타겟 한정
めっぽう強い	善於攻擊	Strong Against	엄청 강하다
打たれ強い	很耐打	Resistant	맷집이 좋다
超打たれ強い	超級耐打	Insanely Tough	초 맷집이 좋다
超ダメージ	超大傷害	Massive Damage	초 데미지
極ダメージ	極度傷害	Insane Damage	극 데미지
ふっとばす	打飛敵人	Knockback	날려버린다
ワープ	傳送	Warp	워프
呪い	詛咒	Curse	저주
攻撃無効	攻擊無效	Dodge Attack	공격 무효
毒撃	毒擊	Toxic	독 공격
攻撃力アップ	攻擊力上升	Strengthen	공격력 업
生き残る	死前存活	Survive	살아남는다
城破壊が得意	善於攻城	Base Destroyer	성 파괴가 특기
クリティカル	會心一擊	Critical	크리티컬
メタルキラー	鋼鐵殺手	Metal Killer	메탈 킬러
地中移動	鑽地	Burrow	버로우
蘇生	復活	Revive	부활
ゾンビキラー	終結不死	Zombie Killer	좀비 킬러
魂攻撃	靈魂攻擊	Soulstrike	영혼 공격
バリア	護盾	Barrier	배리어
バリアブレイカー	破壞護盾	Barrier Breaker	베리어 브레이커
悪魔シールド	惡魔盾	Shield	악마 쉴드
シールドブレイカー 	破壞惡魔盾	Shield Piercing	쉴드 브레이커
ダメージ無効	傷害無效	Dodge Attack	공격 무효
渾身の一撃	渾身一擊	Savage Blow	혼신의 일격
撃破時お金アップ	得到很多金錢	Extra Money	격파시 머니 UP
メタル	鋼鐵	Metal	메탈
小波動	小波動	Mini-Wave	소파동
波動	波動	Wave Attack	파동 공격
小烈波	小烈波	Mini-Surge	소열파
烈波攻擊	烈波	Surge Attacks	열파 공격
デス烈波	遺留烈波	Death Surge	순교
烈波カウンター	烈波反擊	Counter-Surge	열파 카운터
爆波攻擊	爆波攻擊	Explosion	폭파 공격
波動ストッパー	波動滅止	Wave Shield	파동 스톱퍼
召喚	召喚	Conjure	소환
超生命体特効	超生命體特效	Colossus Slayer	초생명체 특효
超獣特効	超獸特效	Behemoth Slayer	초수 특효
超賢者特効	超賢者特效	Sage Slayer	초현자 특효
攻撃力低下無効	攻擊力下降無效	Immune to Weaken	공격력 다운 무효
動きを止める無効	動作停止無效	Immune to Freeze	움직임을 멈춘다 무효
動きを遅くする無効	動作變慢無效	Immune to Slow	움직임을 느리게 한다 무효
ふっとばす無効	打飛無效	Immune to Knockback	날려버린다 무효
波動ダメージ無効	波動(傷害)無效	Immune to Waves	파동 데미지 무효
烈波ダメージ無効	烈波(傷害)無效	Evade Surge	열파 데미지 무효
爆波ダメージ無効	爆波(傷害)無效	Immmune to Explosions	폭파 데미지 무효
ワープ無効	傳送無效	Immune to Warp	워프 무효
古代の呪い無効	古代詛咒無效	Immune to Curse	고대의 저주 내성
毒撃ダメージ無効	毒擊(傷害)無效	Immune to Toxic	독 데미지 무효
攻撃力低下耐性	抗擊耐性	Resist Weaken	공격력 다운 내성
動きを止める耐性	動止耐性	Resist Freeze	움직임을 멈춘다 내성
動きを遅くする耐性	動慢耐性	Resist Slow	움직임을 느리게 한다 내성
ふっとばし耐性	抗飛耐性	Resist Knockback	날려버린다 내성
波動ダメージ耐性	抗波耐性	Resist Wave	파동 데미지 내성
烈波ダメージ耐性	抗烈波耐性	Resist Surge	열파 데미지 내성
ワープ耐性	抗傳耐性	Resist Warp	워프 내성
古代の呪い耐性	抗古代詛咒耐性	Resist Curse	고대의 저주 내성
毒撃ダメージ耐性	抗毒擊耐性	Resist Toxic	독 데미지 내성
基本体力アップ	基本體力上升	Defense Buff	기본 체력 업
基本攻撃力アップ	基本攻擊力上升	Attack Buff	기본 공격력 업
移動速度上昇	移動加快	Move Speed Up	이동 속도 증가
ノックバック回数増加	增加擊退	Improved Knockback	넉백 횟수 증가
生産コスト割引	成本減少	Cost Down	생산 코스트 할인
再生産時間短縮	生產加快	Recover Speed Up	생산 스피드 업
攻撃間隔短縮	攻擊間隔縮短	Attack Frequency Up	공격 간격 단축
魔女キラー	終結魔女	Witch Killer	마녀 킬러
使徒キラー	終結使徒	Eva Angel Killer	사도 킬러
ダメージアップ	提升傷害	Attack Up	대미지 업
ダメージ軽減	減輕傷害	Defense Up	데미지 경감
めっぽう強い強化	強化善於攻擊	Strong Against Up	엄청 강하다 강화
超ダメージ強化	強化超大傷害	Massive Damage Up	초 데미지 강화
打たれ強い強化	強化很耐打	Resistance Up	맷집이 좋다 강화
デス小烈波	遺留小烈波	Mini-Deathsurge	데스 소열파
キャッシュバック	金錢回饋	Cash Back	캐시백
レジェンドストーリー強化	傳奇故事強化	Boost Stories of Legend	레전드 스토리 강화
にゃんこ砲チャージ	貓咪砲充電	Cat Cannon Charge	냥코 대포 충전
全攻撃無効	全攻擊無效	Dodge Attack (All)	전 공격 무효
真レジェンドストーリー強化	真傳奇故事強化	Boost Uncanny Legends	신 레전드 스토리 강화
１回烈波カウンター			
撃破時攻撃力アップ			
生産時間短縮	生產加快	Recover Speed Up	생산 스피드 업
遅延	延遲	Drain	생산 지연
